cudagraph_mode,batch_size,sm_clock,input_len,model_name,kv_cache_lens,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
NONE,16,630,4096,Qwen/Qwen3-8B_prefill,0,5273845,16,9.2844,1,152.15653333333333,1412.68211808,100.0,8.355555555555556
FULL,16,630,4096,Qwen/Qwen3-8B_decoding,4096,4056728,528,1.1348,33,158.85011111111112,180.2631060888889,100.0,45.333333333333336
FULL,16,630,4096,Qwen/Qwen3-8B_decoding,4097,176067,528,1.1346,33,161.9749,183.77672154,100.0,45.0
FULL,16,630,4096,Qwen/Qwen3-8B_decoding,4098,4046811,528,1.0947,33,162.3730555555556,177.7497839166667,100.0,45.77777777777778
FULL,16,630,4096,Qwen/Qwen3-8B_decoding,4099,4030726,528,1.0948,33,162.31322222222224,177.7005156888889,100.0,45.833333333333336
NONE,16,930,4096,Qwen/Qwen3-8B_prefill,0,1283924,16,6.6156,1,195.1536530612245,1291.0585071918367,100.0,11.26530612244898
FULL,16,922,4096,Qwen/Qwen3-8B_decoding,4097,260487,784,1.4968,49,174.33483333333334,260.9443785333333,100.0,49.0
FULL,16,930,4096,Qwen/Qwen3-8B_decoding,4097,261287,784,1.4963,49,174.47505555555557,261.0670256277778,100.0,49.0
FULL,16,930,4096,Qwen/Qwen3-8B_decoding,4098,8454217,784,1.4966,49,174.68163636363636,261.4285369818182,100.0,49.0
FULL,16,922,4096,Qwen/Qwen3-8B_decoding,4099,260675,784,1.4971,49,173.62314285714288,259.93120717142864,100.0,49.0
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill,0,1287033,16,4.9382,1,263.35152054794526,1300.4824787698633,100.0,15.04109589041096
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,4096,4902160,1040,1.7161,65,198.67974074074078,340.95430308518524,100.0,57.0
