cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,gpu_util_pct
NONE,16,1530,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,1530,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,1230,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,1230,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,930,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,930,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,2430,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,2430,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,2130,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,2130,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,1830,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,1830,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,1530,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,1530,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,1230,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,1230,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,930,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,930,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,2430,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,2430,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,2130,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,2130,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,1830,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,1830,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,1530,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,1530,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,1230,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,1230,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,930,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,930,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,2430,512,nvidia/Qwen3-8B-NVFP4_prefill-all,89.06666666666666
FULL,16,2430,512,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,2130,512,nvidia/Qwen3-8B-NVFP4_prefill-all,99.58333333333333
FULL,16,2130,512,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,1830,512,nvidia/Qwen3-8B-NVFP4_prefill-all,99.33333333333333
FULL,16,1830,512,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,1530,512,nvidia/Qwen3-8B-NVFP4_prefill-all,98.66666666666667
FULL,16,1530,512,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,1230,512,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,1230,512,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,930,512,nvidia/Qwen3-8B-NVFP4_prefill-all,98.0
FULL,16,930,512,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,94.17777777777776
FULL,16,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,2130,256,nvidia/Qwen3-8B-NVFP4_prefill-all,99.3
FULL,16,2130,256,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,1830,256,nvidia/Qwen3-8B-NVFP4_prefill-all,83.55555555555556
FULL,16,1830,256,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,1530,256,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,1530,256,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,1230,256,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,1230,256,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,930,256,nvidia/Qwen3-8B-NVFP4_prefill-all,100.0
FULL,16,930,256,nvidia/Qwen3-8B-NVFP4_decoding-all,100.0
NONE,16,2430,8192,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,2430,8192,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,2130,8192,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,2130,8192,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,1830,8192,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,1830,8192,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,1530,8192,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,1530,8192,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,1230,8192,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,1230,8192,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,930,8192,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,930,8192,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,2430,4096,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,2430,4096,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,2130,4096,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,2130,4096,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,1830,4096,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,1830,4096,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,1530,4096,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,1530,4096,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,1230,4096,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,1230,4096,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,930,4096,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,930,4096,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,2430,2048,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,2430,2048,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,2130,2048,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,2130,2048,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,1830,2048,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,1830,2048,nvidia/Qwen3-8B-FP8_decoding-all,100.0
NONE,16,1530,2048,nvidia/Qwen3-8B-FP8_prefill-all,100.0
FULL,16,1530,2048,nvidia/Qwen3-8B-FP8_decoding-all,100.0
