cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,avg_temperature_C
FULL,16,1530,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,40.75
NONE,16,1230,8192,nvidia/Qwen3-8B-NVFP4_prefill-all,42.684710351377014
FULL,16,1230,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,37.0
NONE,16,930,8192,nvidia/Qwen3-8B-NVFP4_prefill-all,37.47058823529412
FULL,16,930,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,33.333333333333336
NONE,16,2430,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,51.84615384615385
FULL,16,2430,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,45.10833333333333
NONE,16,2130,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,53.708333333333336
FULL,16,2130,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,44.48148148148149
NONE,16,1830,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,49.888888888888886
FULL,16,1830,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,42.648148148148145
NONE,16,1530,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,45.06666666666666
FULL,16,1530,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,39.53819444444445
NONE,16,1230,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,41.84848484848485
FULL,16,1230,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,36.28125
NONE,16,930,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,37.406349206349205
FULL,16,930,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,32.94047619047619
NONE,16,2430,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,49.03333333333333
FULL,16,2430,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,43.111111111111114
NONE,16,2130,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,51.38095238095239
FULL,16,2130,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,43.916666666666664
NONE,16,1830,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,48.833333333333336
FULL,16,1830,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,41.427083333333336
NONE,16,1530,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,44.333333333333336
FULL,16,1530,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,38.53125
NONE,16,1230,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,40.888888888888886
FULL,16,1230,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,35.51190476190476
NONE,16,930,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,37.0
FULL,16,930,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,32.52564102564103
NONE,16,2430,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,48.166666666666664
FULL,16,2430,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,41.94444444444444
NONE,16,2130,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,50.333333333333336
FULL,16,2130,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,43.02546296296296
NONE,16,1830,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,47.888888888888886
FULL,16,1830,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,40.208333333333336
NONE,16,1530,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,44.095238095238095
FULL,16,1530,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,37.59375
NONE,16,1230,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,40.0
FULL,16,1230,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,34.604166666666664
NONE,16,930,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,36.0
FULL,16,930,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,31.64102564102564
NONE,16,2430,512,nvidia/Qwen3-8B-NVFP4_prefill-all,44.68333333333334
FULL,16,2430,512,nvidia/Qwen3-8B-NVFP4_decoding-all,38.84606481481482
NONE,16,2130,512,nvidia/Qwen3-8B-NVFP4_prefill-all,47.25
FULL,16,2130,512,nvidia/Qwen3-8B-NVFP4_decoding-all,40.0
NONE,16,1830,512,nvidia/Qwen3-8B-NVFP4_prefill-all,45.72222222222222
FULL,16,1830,512,nvidia/Qwen3-8B-NVFP4_decoding-all,38.333333333333336
NONE,16,1530,512,nvidia/Qwen3-8B-NVFP4_prefill-all,42.833333333333336
FULL,16,1530,512,nvidia/Qwen3-8B-NVFP4_decoding-all,36.166666666666664
NONE,16,1230,512,nvidia/Qwen3-8B-NVFP4_prefill-all,38.666666666666664
FULL,16,1230,512,nvidia/Qwen3-8B-NVFP4_decoding-all,33.523809523809526
NONE,16,930,512,nvidia/Qwen3-8B-NVFP4_prefill-all,34.833333333333336
FULL,16,930,512,nvidia/Qwen3-8B-NVFP4_decoding-all,30.92948717948718
NONE,16,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,44.74444444444445
FULL,16,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,38.574074074074076
NONE,16,2130,256,nvidia/Qwen3-8B-NVFP4_prefill-all,47.28333333333333
FULL,16,2130,256,nvidia/Qwen3-8B-NVFP4_decoding-all,40.0
NONE,16,1830,256,nvidia/Qwen3-8B-NVFP4_prefill-all,44.138888888888886
FULL,16,1830,256,nvidia/Qwen3-8B-NVFP4_decoding-all,37.71875
NONE,16,1530,256,nvidia/Qwen3-8B-NVFP4_prefill-all,42.75
FULL,16,1530,256,nvidia/Qwen3-8B-NVFP4_decoding-all,35.53125
NONE,16,1230,256,nvidia/Qwen3-8B-NVFP4_prefill-all,38.0
