cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_avg_power_W
NONE,16,1530,8192,nvidia/Qwen3-8B-NVFP4_prefill-all,289.5383010499298
FULL,16,1530,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,224.9598180282595
NONE,16,1230,8192,nvidia/Qwen3-8B-NVFP4_prefill-all,247.86904696039198
FULL,16,1230,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,181.20393351482124
NONE,16,930,8192,nvidia/Qwen3-8B-NVFP4_prefill-all,189.48325436551906
FULL,16,930,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,157.10027410757502
NONE,16,2430,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,585.1384487701825
FULL,16,2430,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,315.30519873776814
NONE,16,2130,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,474.8968321112991
FULL,16,2130,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,269.41988702143806
NONE,16,1830,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,392.76358539848377
FULL,16,1830,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,239.40122199592665
NONE,16,1530,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,302.1992855038303
FULL,16,1530,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,204.84919101733095
NONE,16,1230,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,257.47451526059467
FULL,16,1230,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,166.1203875837981
NONE,16,930,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,198.90426416439007
FULL,16,930,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,142.9042583313841
NONE,16,2430,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,583.3302482276067
FULL,16,2430,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,310.8229878785124
NONE,16,2130,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,467.32173185963256
FULL,16,2130,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,272.3624006412397
NONE,16,1830,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,387.3541225964395
FULL,16,1830,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,224.36059911229526
NONE,16,1530,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,310.5087973504451
FULL,16,1530,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,187.97978700282545
NONE,16,1230,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,255.24533823329253
FULL,16,1230,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,151.00041493005023
NONE,16,930,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,201.82773675416374
FULL,16,930,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,132.59151348201516
NONE,16,2430,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,580.5125014673084
FULL,16,2430,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,292.7840914710741
NONE,16,2130,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,463.5090340610386
FULL,16,2130,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,264.8063116028805
NONE,16,1830,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,389.5656565656566
FULL,16,1830,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,210.70014203827736
NONE,16,1530,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,327.6127836143727
FULL,16,1530,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,178.34848170675514
NONE,16,1230,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,279.9716652136007
FULL,16,1230,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,143.6468388631981
NONE,16,930,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,198.1643740608022
FULL,16,930,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,124.24785239833848
NONE,16,2430,512,nvidia/Qwen3-8B-NVFP4_prefill-all,574.9141710980501
FULL,16,2430,512,nvidia/Qwen3-8B-NVFP4_decoding-all,281.4346741841049
NONE,16,2130,512,nvidia/Qwen3-8B-NVFP4_prefill-all,485.2259492196599
FULL,16,2130,512,nvidia/Qwen3-8B-NVFP4_decoding-all,248.15724393151345
NONE,16,1830,512,nvidia/Qwen3-8B-NVFP4_prefill-all,357.0279448178281
FULL,16,1830,512,nvidia/Qwen3-8B-NVFP4_decoding-all,201.64106537175766
NONE,16,1530,512,nvidia/Qwen3-8B-NVFP4_prefill-all,330.75818530667823
FULL,16,1530,512,nvidia/Qwen3-8B-NVFP4_decoding-all,170.30265891926194
NONE,16,1230,512,nvidia/Qwen3-8B-NVFP4_prefill-all,272.84938422703283
FULL,16,1230,512,nvidia/Qwen3-8B-NVFP4_decoding-all,138.68517614849836
NONE,16,930,512,nvidia/Qwen3-8B-NVFP4_prefill-all,217.793279145942
FULL,16,930,512,nvidia/Qwen3-8B-NVFP4_decoding-all,118.10943168077388
NONE,16,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,515.9703675197229
FULL,16,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,273.39565809829213
NONE,16,2130,256,nvidia/Qwen3-8B-NVFP4_prefill-all,474.62304962815347
FULL,16,2130,256,nvidia/Qwen3-8B-NVFP4_decoding-all,242.80669041522876
NONE,16,1830,256,nvidia/Qwen3-8B-NVFP4_prefill-all,330.3616719506091
FULL,16,1830,256,nvidia/Qwen3-8B-NVFP4_decoding-all,196.52330301628902
NONE,16,1530,256,nvidia/Qwen3-8B-NVFP4_prefill-all,331.1391783512467
FULL,16,1530,256,nvidia/Qwen3-8B-NVFP4_decoding-all,164.64006022338674
NONE,16,1230,256,nvidia/Qwen3-8B-NVFP4_prefill-all,258.61347591362124
FULL,16,1230,256,nvidia/Qwen3-8B-NVFP4_decoding-all,137.07240405618995
NONE,16,930,256,nvidia/Qwen3-8B-NVFP4_prefill-all,179.46481665014866
FULL,16,930,256,nvidia/Qwen3-8B-NVFP4_decoding-all,114.91837280461714
NONE,16,2430,8192,nvidia/Qwen3-8B-FP8_prefill-all,604.4496924156723
FULL,16,2430,8192,nvidia/Qwen3-8B-FP8_decoding-all,363.26794673350577
NONE,16,2130,8192,nvidia/Qwen3-8B-FP8_prefill-all,556.2376316949085
FULL,16,2130,8192,nvidia/Qwen3-8B-FP8_decoding-all,305.22053408509896
NONE,16,1830,8192,nvidia/Qwen3-8B-FP8_prefill-all,437.2003894866622
FULL,16,1830,8192,nvidia/Qwen3-8B-FP8_decoding-all,272.01754617205586
NONE,16,1530,8192,nvidia/Qwen3-8B-FP8_prefill-all,315.2082704943726
FULL,16,1530,8192,nvidia/Qwen3-8B-FP8_decoding-all,242.76728442027982
NONE,16,1230,8192,nvidia/Qwen3-8B-FP8_prefill-all,248.0009482122846
FULL,16,1230,8192,nvidia/Qwen3-8B-FP8_decoding-all,199.94104057236515
NONE,16,930,8192,nvidia/Qwen3-8B-FP8_prefill-all,200.84786222464217
FULL,16,930,8192,nvidia/Qwen3-8B-FP8_decoding-all,174.44896700193658
NONE,16,2430,4096,nvidia/Qwen3-8B-FP8_prefill-all,598.8439761232988
FULL,16,2430,4096,nvidia/Qwen3-8B-FP8_decoding-all,345.70301244574165
NONE,16,2130,4096,nvidia/Qwen3-8B-FP8_prefill-all,559.7682422700661
FULL,16,2130,4096,nvidia/Qwen3-8B-FP8_decoding-all,290.6331825258341
NONE,16,1830,4096,nvidia/Qwen3-8B-FP8_prefill-all,451.47635146223774
FULL,16,1830,4096,nvidia/Qwen3-8B-FP8_decoding-all,256.6165229264649
NONE,16,1530,4096,nvidia/Qwen3-8B-FP8_prefill-all,324.48041594454077
FULL,16,1530,4096,nvidia/Qwen3-8B-FP8_decoding-all,237.35900147309616
NONE,16,1230,4096,nvidia/Qwen3-8B-FP8_prefill-all,257.2514285072801
FULL,16,1230,4096,nvidia/Qwen3-8B-FP8_decoding-all,189.01584638329606
NONE,16,930,4096,nvidia/Qwen3-8B-FP8_prefill-all,206.91170856275085
FULL,16,930,4096,nvidia/Qwen3-8B-FP8_decoding-all,167.38142116263973
NONE,16,2430,2048,nvidia/Qwen3-8B-FP8_prefill-all,603.3399955891272
FULL,16,2430,2048,nvidia/Qwen3-8B-FP8_decoding-all,332.36084969077706
NONE,16,2130,2048,nvidia/Qwen3-8B-FP8_prefill-all,600.6781573817585
FULL,16,2130,2048,nvidia/Qwen3-8B-FP8_decoding-all,279.87137733437777
NONE,16,1830,2048,nvidia/Qwen3-8B-FP8_prefill-all,469.7140897440525
FULL,16,1830,2048,nvidia/Qwen3-8B-FP8_decoding-all,248.83326106095848
NONE,16,1530,2048,nvidia/Qwen3-8B-FP8_prefill-all,344.4646131279795
FULL,16,1530,2048,nvidia/Qwen3-8B-FP8_decoding-all,225.66470153745146
NONE,16,1230,2048,nvidia/Qwen3-8B-FP8_prefill-all,263.3947810615795
FULL,16,1230,2048,nvidia/Qwen3-8B-FP8_decoding-all,183.78877239734908
NONE,16,930,2048,nvidia/Qwen3-8B-FP8_prefill-all,213.8149889896615
FULL,16,930,2048,nvidia/Qwen3-8B-FP8_decoding-all,159.69656803606577
NONE,16,2430,1024,nvidia/Qwen3-8B-FP8_prefill-all,598.6455598725892
FULL,16,2430,1024,nvidia/Qwen3-8B-FP8_decoding-all,326.02819901660195
NONE,16,2130,1024,nvidia/Qwen3-8B-FP8_prefill-all,543.8815138956094
FULL,16,2130,1024,nvidia/Qwen3-8B-FP8_decoding-all,273.9849580794218
NONE,16,1830,1024,nvidia/Qwen3-8B-FP8_prefill-all,431.7752398806147
FULL,16,1830,1024,nvidia/Qwen3-8B-FP8_decoding-all,251.11866255000538
NONE,16,1530,1024,nvidia/Qwen3-8B-FP8_prefill-all,315.043623810022
FULL,16,1530,1024,nvidia/Qwen3-8B-FP8_decoding-all,218.15141370280747
NONE,16,1230,1024,nvidia/Qwen3-8B-FP8_prefill-all,273.1062593941864
FULL,16,1230,1024,nvidia/Qwen3-8B-FP8_decoding-all,177.46408839779005
NONE,16,930,1024,nvidia/Qwen3-8B-FP8_prefill-all,196.52382584847444
FULL,16,930,1024,nvidia/Qwen3-8B-FP8_decoding-all,154.12893496845885
NONE,16,2430,512,nvidia/Qwen3-8B-FP8_prefill-all,595.3815090329437
FULL,16,2430,512,nvidia/Qwen3-8B-FP8_decoding-all,333.1749347258486
NONE,16,2130,512,nvidia/Qwen3-8B-FP8_prefill-all,524.7938642571969
FULL,16,2130,512,nvidia/Qwen3-8B-FP8_decoding-all,279.59684846649765
NONE,16,1830,512,nvidia/Qwen3-8B-FP8_prefill-all,410.25200966612425
FULL,16,1830,512,nvidia/Qwen3-8B-FP8_decoding-all,252.61016526521396
NONE,16,1530,512,nvidia/Qwen3-8B-FP8_prefill-all,307.1683897702064
FULL,16,1530,512,nvidia/Qwen3-8B-FP8_decoding-all,213.84021867249024
NONE,16,1230,512,nvidia/Qwen3-8B-FP8_prefill-all,239.55728372471282
FULL,16,1230,512,nvidia/Qwen3-8B-FP8_decoding-all,172.0115615449759
NONE,16,930,512,nvidia/Qwen3-8B-FP8_prefill-all,198.00957381099445
FULL,16,930,512,nvidia/Qwen3-8B-FP8_decoding-all,149.0911363712124
NONE,16,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,589.5082302721984
FULL,16,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,330.2511944021647
NONE,16,2130,256,nvidia/Qwen3-8B-FP8_prefill-all,481.2728087585633
FULL,16,2130,256,nvidia/Qwen3-8B-FP8_decoding-all,276.79456889252066
NONE,16,1830,256,nvidia/Qwen3-8B-FP8_prefill-all,404.8877447945518
FULL,16,1830,256,nvidia/Qwen3-8B-FP8_decoding-all,244.22778403065578
NONE,16,1530,256,nvidia/Qwen3-8B-FP8_prefill-all,305.4667473654229
FULL,16,1530,256,nvidia/Qwen3-8B-FP8_decoding-all,209.19318901903065
NONE,16,1230,256,nvidia/Qwen3-8B-FP8_prefill-all,253.82648432512352
FULL,16,1230,256,nvidia/Qwen3-8B-FP8_decoding-all,169.2629096291378
NONE,16,930,256,nvidia/Qwen3-8B-FP8_prefill-all,194.9028663028129
FULL,16,930,256,nvidia/Qwen3-8B-FP8_decoding-all,145.18032888277273
NONE,16,2430,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,602.1107432845718
FULL,16,2430,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,373.0420693748294
NONE,16,2130,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,454.9693060123113
FULL,16,2130,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,311.8952509510369
NONE,16,1830,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,352.76499644569196
FULL,16,1830,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,274.61457048065586
NONE,16,1530,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,257.00362275421503
FULL,16,1530,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,251.65855587845851
NONE,16,1230,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,218.98411207247634
FULL,16,1230,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,202.07916801031925
NONE,16,930,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,157.56117678428583
FULL,16,930,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,175.8138248368055
NONE,16,2430,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,600.5772924881205
FULL,16,2430,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,357.26900616711237
NONE,16,2130,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,459.70515567306376
FULL,16,2130,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,300.51122891781864
NONE,16,1830,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,353.3119039543121
FULL,16,1830,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,266.0951956579591
NONE,16,1530,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,259.81686054249735
FULL,16,1530,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,238.7111233311167
NONE,16,1230,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,223.4017704864777
FULL,16,1230,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,193.08599791622171
NONE,16,930,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,159.49088186739357
FULL,16,930,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,168.9218781735261
NONE,16,2430,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,598.996682317879
FULL,16,2430,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,350.23938868629006
NONE,16,2130,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,458.71950118335883
FULL,16,2130,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,291.18120127431433
NONE,16,1830,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,353.29410411084996
FULL,16,1830,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,253.1521398449966
NONE,16,1530,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,265.9304748937116
FULL,16,1530,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,233.29045431342522
NONE,16,1230,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,226.3525451300242
FULL,16,1230,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,188.4728201169729
NONE,16,930,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,162.5332800319808
FULL,16,930,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,161.00472081090808
NONE,16,2430,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,602.892911114164
FULL,16,2430,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,340.75686770179857
NONE,16,2130,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,461.1876232957251
FULL,16,2130,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,284.77244843929594
NONE,16,1830,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,362.0427939281913
FULL,16,1830,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,250.94039216234935
NONE,16,1530,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,265.18622035680784
FULL,16,1530,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,223.60274669744038
NONE,16,1230,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,229.12084103512012
FULL,16,1230,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,181.98439330604452
NONE,16,930,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,168.34821064312408
FULL,16,930,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,156.425921314741
NONE,16,2430,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,593.3083006694648
FULL,16,2430,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,331.30430306111293
NONE,16,2130,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,464.7300781326878
FULL,16,2130,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,277.0665457220607
NONE,16,1830,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,366.22923663429236
FULL,16,1830,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,257.815229900594
NONE,16,1530,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,270.6205969862751
