cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_avg_power_W
FULL,16,1230,8192,nvidia/Qwen3-8B-FP8_decoding-all,198.69123958333333
NONE,16,930,8192,nvidia/Qwen3-8B-FP8_prefill-all,200.05243804713803
FULL,16,930,8192,nvidia/Qwen3-8B-FP8_decoding-all,174.41078205128204
NONE,16,2430,4096,nvidia/Qwen3-8B-FP8_prefill-all,599.8979814814815
FULL,16,2430,4096,nvidia/Qwen3-8B-FP8_decoding-all,344.78517222222223
NONE,16,2130,4096,nvidia/Qwen3-8B-FP8_prefill-all,563.9474444444444
FULL,16,2130,4096,nvidia/Qwen3-8B-FP8_decoding-all,290.09260185185184
NONE,16,1830,4096,nvidia/Qwen3-8B-FP8_prefill-all,444.64387878787875
FULL,16,1830,4096,nvidia/Qwen3-8B-FP8_decoding-all,259.16659375
NONE,16,1530,4096,nvidia/Qwen3-8B-FP8_prefill-all,325.4054230769231
FULL,16,1530,4096,nvidia/Qwen3-8B-FP8_decoding-all,235.69912351190473
NONE,16,1230,4096,nvidia/Qwen3-8B-FP8_prefill-all,255.13582222222217
FULL,16,1230,4096,nvidia/Qwen3-8B-FP8_decoding-all,190.3984613095238
NONE,16,930,4096,nvidia/Qwen3-8B-FP8_prefill-all,207.19263333333333
FULL,16,930,4096,nvidia/Qwen3-8B-FP8_decoding-all,166.79729166666667
NONE,16,2430,2048,nvidia/Qwen3-8B-FP8_prefill-all,599.4030769230768
FULL,16,2430,2048,nvidia/Qwen3-8B-FP8_decoding-all,333.9748310185185
NONE,16,2130,2048,nvidia/Qwen3-8B-FP8_prefill-all,584.9717407407408
FULL,16,2130,2048,nvidia/Qwen3-8B-FP8_decoding-all,281.3339375
NONE,16,1830,2048,nvidia/Qwen3-8B-FP8_prefill-all,465.63596666666666
FULL,16,1830,2048,nvidia/Qwen3-8B-FP8_decoding-all,252.6681428571429
NONE,16,1530,2048,nvidia/Qwen3-8B-FP8_prefill-all,340.13455555555555
FULL,16,1530,2048,nvidia/Qwen3-8B-FP8_decoding-all,225.76369047619048
NONE,16,1230,2048,nvidia/Qwen3-8B-FP8_prefill-all,273.46061904761905
FULL,16,1230,2048,nvidia/Qwen3-8B-FP8_decoding-all,183.51752976190474
NONE,16,930,2048,nvidia/Qwen3-8B-FP8_prefill-all,215.7316
FULL,16,930,2048,nvidia/Qwen3-8B-FP8_decoding-all,159.8712575757576
NONE,16,2430,1024,nvidia/Qwen3-8B-FP8_prefill-all,598.3726878787879
FULL,16,2430,1024,nvidia/Qwen3-8B-FP8_decoding-all,325.3482407407407
NONE,16,2130,1024,nvidia/Qwen3-8B-FP8_prefill-all,539.3536666666668
FULL,16,2130,1024,nvidia/Qwen3-8B-FP8_decoding-all,273.74079166666667
NONE,16,1830,1024,nvidia/Qwen3-8B-FP8_prefill-all,429.0235
FULL,16,1830,1024,nvidia/Qwen3-8B-FP8_decoding-all,250.84077380952385
NONE,16,1530,1024,nvidia/Qwen3-8B-FP8_prefill-all,313.83185185185187
FULL,16,1530,1024,nvidia/Qwen3-8B-FP8_decoding-all,217.86988095238095
NONE,16,1230,1024,nvidia/Qwen3-8B-FP8_prefill-all,267.37819047619047
FULL,16,1230,1024,nvidia/Qwen3-8B-FP8_decoding-all,176.26876190476193
NONE,16,930,1024,nvidia/Qwen3-8B-FP8_prefill-all,198.31394444444447
FULL,16,930,1024,nvidia/Qwen3-8B-FP8_decoding-all,153.60296212121213
NONE,16,2430,512,nvidia/Qwen3-8B-FP8_prefill-all,596.6088888888888
FULL,16,2430,512,nvidia/Qwen3-8B-FP8_decoding-all,333.87225
NONE,16,2130,512,nvidia/Qwen3-8B-FP8_prefill-all,488.5123333333333
FULL,16,2130,512,nvidia/Qwen3-8B-FP8_decoding-all,278.93071726190476
NONE,16,1830,512,nvidia/Qwen3-8B-FP8_prefill-all,370.4458333333334
FULL,16,1830,512,nvidia/Qwen3-8B-FP8_decoding-all,248.2472857142857
NONE,16,1530,512,nvidia/Qwen3-8B-FP8_prefill-all,280.92799999999994
FULL,16,1530,512,nvidia/Qwen3-8B-FP8_decoding-all,212.0359761904762
NONE,16,1230,512,nvidia/Qwen3-8B-FP8_prefill-all,220.71875
FULL,16,1230,512,nvidia/Qwen3-8B-FP8_decoding-all,172.21098412698416
NONE,16,930,512,nvidia/Qwen3-8B-FP8_prefill-all,165.41588888888887
FULL,16,930,512,nvidia/Qwen3-8B-FP8_decoding-all,149.8803174242424
NONE,16,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,567.6486031746032
FULL,16,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,330.78702893518516
NONE,16,2130,256,nvidia/Qwen3-8B-FP8_prefill-all,454.48140476190474
FULL,16,2130,256,nvidia/Qwen3-8B-FP8_decoding-all,275.09128125
NONE,16,1830,256,nvidia/Qwen3-8B-FP8_prefill-all,383.5749444444444
FULL,16,1830,256,nvidia/Qwen3-8B-FP8_decoding-all,244.79211904761902
NONE,16,1530,256,nvidia/Qwen3-8B-FP8_prefill-all,273.43794444444444
FULL,16,1530,256,nvidia/Qwen3-8B-FP8_decoding-all,208.46944047619047
NONE,16,1230,256,nvidia/Qwen3-8B-FP8_prefill-all,228.11261111111116
FULL,16,1230,256,nvidia/Qwen3-8B-FP8_decoding-all,169.39566666666667
NONE,16,930,256,nvidia/Qwen3-8B-FP8_prefill-all,161.34412222222224
FULL,16,930,256,nvidia/Qwen3-8B-FP8_decoding-all,147.02980303030304
NONE,16,2430,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,605.1666285714285
FULL,16,2430,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,373.330825
NONE,16,2130,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,455.5686324786325
FULL,16,2130,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,311.8348981481481
NONE,16,1830,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,354.9427703703704
FULL,16,1830,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,273.95226041666666
NONE,16,1530,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,257.7267421383648
FULL,16,1530,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,249.63115625
NONE,16,1230,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,219.9754375
FULL,16,1230,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,200.6790208333333
NONE,16,930,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,158.08476296296297
FULL,16,930,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,175.76909615384614
NONE,16,2430,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,600.3224141414142
FULL,16,2430,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,360.51044444444443
NONE,16,2130,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,450.9502280701754
