cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,memory_util_pct
FULL,16,930,8192,nvidia/Qwen3-8B-NVFP4_decoding-all,39.0
NONE,16,2430,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,40.60989010989011
FULL,16,2430,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,62.25
NONE,16,2130,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,38.125
FULL,16,2130,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,59.05555555555555
NONE,16,1830,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,34.074074074074076
FULL,16,1830,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,54.16203703703704
NONE,16,1530,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,29.666666666666668
FULL,16,1530,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,46.0
NONE,16,1230,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,24.939393939393938
FULL,16,1230,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,38.6875
NONE,16,930,4096,nvidia/Qwen3-8B-NVFP4_prefill-all,19.590476190476192
FULL,16,930,4096,nvidia/Qwen3-8B-NVFP4_decoding-all,32.0
NONE,16,2430,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,45.0
FULL,16,2430,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,51.0
NONE,16,2130,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,41.952380952380956
FULL,16,2130,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,49.0
NONE,16,1830,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,38.0
FULL,16,1830,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,44.0
NONE,16,1530,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,33.26666666666667
FULL,16,1530,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,38.0
NONE,16,1230,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,28.055555555555554
FULL,16,1230,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,32.0
NONE,16,930,2048,nvidia/Qwen3-8B-NVFP4_prefill-all,22.0
FULL,16,930,2048,nvidia/Qwen3-8B-NVFP4_decoding-all,26.0
NONE,16,2430,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,46.25
FULL,16,2430,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,43.98333333333333
NONE,16,2130,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,44.0
FULL,16,2130,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,42.0
NONE,16,1830,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,39.611111111111114
FULL,16,1830,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,37.0
NONE,16,1530,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,35.111111111111114
FULL,16,1530,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,31.0
NONE,16,1230,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,29.055555555555557
FULL,16,1230,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,26.770833333333332
NONE,16,930,1024,nvidia/Qwen3-8B-NVFP4_prefill-all,23.333333333333332
FULL,16,930,1024,nvidia/Qwen3-8B-NVFP4_decoding-all,21.0
NONE,16,2430,512,nvidia/Qwen3-8B-NVFP4_prefill-all,40.28333333333333
FULL,16,2430,512,nvidia/Qwen3-8B-NVFP4_decoding-all,38.56018518518518
NONE,16,2130,512,nvidia/Qwen3-8B-NVFP4_prefill-all,42.75
FULL,16,2130,512,nvidia/Qwen3-8B-NVFP4_decoding-all,37.0
NONE,16,1830,512,nvidia/Qwen3-8B-NVFP4_prefill-all,38.166666666666664
FULL,16,1830,512,nvidia/Qwen3-8B-NVFP4_decoding-all,32.0
NONE,16,1530,512,nvidia/Qwen3-8B-NVFP4_prefill-all,33.666666666666664
FULL,16,1530,512,nvidia/Qwen3-8B-NVFP4_decoding-all,27.0
NONE,16,1230,512,nvidia/Qwen3-8B-NVFP4_prefill-all,28.666666666666668
FULL,16,1230,512,nvidia/Qwen3-8B-NVFP4_decoding-all,23.0
NONE,16,930,512,nvidia/Qwen3-8B-NVFP4_prefill-all,22.333333333333332
FULL,16,930,512,nvidia/Qwen3-8B-NVFP4_decoding-all,18.153846153846153
NONE,16,2430,256,nvidia/Qwen3-8B-NVFP4_prefill-all,37.87777777777777
FULL,16,2430,256,nvidia/Qwen3-8B-NVFP4_decoding-all,36.0
NONE,16,2130,256,nvidia/Qwen3-8B-NVFP4_prefill-all,38.0
FULL,16,2130,256,nvidia/Qwen3-8B-NVFP4_decoding-all,34.0
NONE,16,1830,256,nvidia/Qwen3-8B-NVFP4_prefill-all,28.444444444444443
FULL,16,1830,256,nvidia/Qwen3-8B-NVFP4_decoding-all,29.833333333333332
NONE,16,1530,256,nvidia/Qwen3-8B-NVFP4_prefill-all,30.0
FULL,16,1530,256,nvidia/Qwen3-8B-NVFP4_decoding-all,25.0
NONE,16,1230,256,nvidia/Qwen3-8B-NVFP4_prefill-all,26.0
FULL,16,1230,256,nvidia/Qwen3-8B-NVFP4_decoding-all,21.0
NONE,16,930,256,nvidia/Qwen3-8B-NVFP4_prefill-all,21.0
FULL,16,930,256,nvidia/Qwen3-8B-NVFP4_decoding-all,17.0
NONE,16,2430,8192,nvidia/Qwen3-8B-FP8_prefill-all,26.53253968253968
FULL,16,2430,8192,nvidia/Qwen3-8B-FP8_decoding-all,86.0
NONE,16,2130,8192,nvidia/Qwen3-8B-FP8_prefill-all,26.174603174603174
FULL,16,2130,8192,nvidia/Qwen3-8B-FP8_decoding-all,84.8324074074074
NONE,16,1830,8192,nvidia/Qwen3-8B-FP8_prefill-all,22.097222222222225
FULL,16,1830,8192,nvidia/Qwen3-8B-FP8_decoding-all,82.0
NONE,16,1530,8192,nvidia/Qwen3-8B-FP8_prefill-all,18.169312169312168
FULL,16,1530,8192,nvidia/Qwen3-8B-FP8_decoding-all,72.4375
NONE,16,1230,8192,nvidia/Qwen3-8B-FP8_prefill-all,15.490196078431373
FULL,16,1230,8192,nvidia/Qwen3-8B-FP8_decoding-all,57.375
NONE,16,930,8192,nvidia/Qwen3-8B-FP8_prefill-all,9.948148148148148
FULL,16,930,8192,nvidia/Qwen3-8B-FP8_decoding-all,49.56410256410256
NONE,16,2430,4096,nvidia/Qwen3-8B-FP8_prefill-all,30.037037037037038
FULL,16,2430,4096,nvidia/Qwen3-8B-FP8_decoding-all,80.0
NONE,16,2130,4096,nvidia/Qwen3-8B-FP8_prefill-all,29.103703703703705
FULL,16,2130,4096,nvidia/Qwen3-8B-FP8_decoding-all,78.0
NONE,16,1830,4096,nvidia/Qwen3-8B-FP8_prefill-all,25.0
FULL,16,1830,4096,nvidia/Qwen3-8B-FP8_decoding-all,75.0
NONE,16,1530,4096,nvidia/Qwen3-8B-FP8_prefill-all,22.055555555555557
FULL,16,1530,4096,nvidia/Qwen3-8B-FP8_decoding-all,66.0
NONE,16,1230,4096,nvidia/Qwen3-8B-FP8_prefill-all,16.288888888888888
FULL,16,1230,4096,nvidia/Qwen3-8B-FP8_decoding-all,53.0
NONE,16,930,4096,nvidia/Qwen3-8B-FP8_prefill-all,11.350000000000001
FULL,16,930,4096,nvidia/Qwen3-8B-FP8_decoding-all,45.916666666666664
NONE,16,2430,2048,nvidia/Qwen3-8B-FP8_prefill-all,31.48717948717949
FULL,16,2430,2048,nvidia/Qwen3-8B-FP8_decoding-all,75.0
NONE,16,2130,2048,nvidia/Qwen3-8B-FP8_prefill-all,31.40740740740741
FULL,16,2130,2048,nvidia/Qwen3-8B-FP8_decoding-all,73.0
NONE,16,1830,2048,nvidia/Qwen3-8B-FP8_prefill-all,26.866666666666664
FULL,16,1830,2048,nvidia/Qwen3-8B-FP8_decoding-all,70.0
NONE,16,1530,2048,nvidia/Qwen3-8B-FP8_prefill-all,22.5
FULL,16,1530,2048,nvidia/Qwen3-8B-FP8_decoding-all,62.0
NONE,16,1230,2048,nvidia/Qwen3-8B-FP8_prefill-all,17.083333333333332
FULL,16,1230,2048,nvidia/Qwen3-8B-FP8_decoding-all,50.0
NONE,16,930,2048,nvidia/Qwen3-8B-FP8_prefill-all,12.0
FULL,16,930,2048,nvidia/Qwen3-8B-FP8_decoding-all,42.0
NONE,16,2430,1024,nvidia/Qwen3-8B-FP8_prefill-all,29.96969696969697
FULL,16,2430,1024,nvidia/Qwen3-8B-FP8_decoding-all,70.58333333333333
NONE,16,2130,1024,nvidia/Qwen3-8B-FP8_prefill-all,29.0
FULL,16,2130,1024,nvidia/Qwen3-8B-FP8_decoding-all,68.80208333333333
NONE,16,1830,1024,nvidia/Qwen3-8B-FP8_prefill-all,25.0
FULL,16,1830,1024,nvidia/Qwen3-8B-FP8_decoding-all,65.0
NONE,16,1530,1024,nvidia/Qwen3-8B-FP8_prefill-all,20.925925925925927
FULL,16,1530,1024,nvidia/Qwen3-8B-FP8_decoding-all,57.0
NONE,16,1230,1024,nvidia/Qwen3-8B-FP8_prefill-all,17.0
FULL,16,1230,1024,nvidia/Qwen3-8B-FP8_decoding-all,46.202380952380956
NONE,16,930,1024,nvidia/Qwen3-8B-FP8_prefill-all,11.0
FULL,16,930,1024,nvidia/Qwen3-8B-FP8_decoding-all,39.015151515151516
NONE,16,2430,512,nvidia/Qwen3-8B-FP8_prefill-all,32.94444444444445
FULL,16,2430,512,nvidia/Qwen3-8B-FP8_decoding-all,67.22916666666667
NONE,16,2130,512,nvidia/Qwen3-8B-FP8_prefill-all,31.0
FULL,16,2130,512,nvidia/Qwen3-8B-FP8_decoding-all,66.0
NONE,16,1830,512,nvidia/Qwen3-8B-FP8_prefill-all,27.0
FULL,16,1830,512,nvidia/Qwen3-8B-FP8_decoding-all,62.0
NONE,16,1530,512,nvidia/Qwen3-8B-FP8_prefill-all,23.0
FULL,16,1530,512,nvidia/Qwen3-8B-FP8_decoding-all,55.0
NONE,16,1230,512,nvidia/Qwen3-8B-FP8_prefill-all,17.933333333333334
FULL,16,1230,512,nvidia/Qwen3-8B-FP8_decoding-all,45.0
NONE,16,930,512,nvidia/Qwen3-8B-FP8_prefill-all,11.666666666666666
FULL,16,930,512,nvidia/Qwen3-8B-FP8_decoding-all,37.416666666666664
NONE,16,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,24.365079365079367
FULL,16,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,65.08333333333333
NONE,16,2130,256,nvidia/Qwen3-8B-FP8_prefill-all,22.857142857142858
FULL,16,2130,256,nvidia/Qwen3-8B-FP8_decoding-all,64.0
NONE,16,1830,256,nvidia/Qwen3-8B-FP8_prefill-all,21.0
FULL,16,1830,256,nvidia/Qwen3-8B-FP8_decoding-all,60.23809523809524
NONE,16,1530,256,nvidia/Qwen3-8B-FP8_prefill-all,17.11111111111111
FULL,16,1530,256,nvidia/Qwen3-8B-FP8_decoding-all,53.0
NONE,16,1230,256,nvidia/Qwen3-8B-FP8_prefill-all,14.0
FULL,16,1230,256,nvidia/Qwen3-8B-FP8_decoding-all,43.01190476190476
NONE,16,930,256,nvidia/Qwen3-8B-FP8_prefill-all,10.0
FULL,16,930,256,nvidia/Qwen3-8B-FP8_decoding-all,36.0
NONE,16,2430,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,18.038095238095238
FULL,16,2430,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,89.0
NONE,16,2130,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,14.435897435897436
FULL,16,2130,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,87.0
NONE,16,1830,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,12.28148148148148
FULL,16,1830,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,85.0
NONE,16,1530,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,10.270440251572326
FULL,16,1530,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,74.0
NONE,16,1230,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,8.411458333333334
FULL,16,1230,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,58.0
NONE,16,930,8192,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,6.007407407407407
FULL,16,930,8192,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,50.0
NONE,16,2430,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,17.67676767676768
FULL,16,2430,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,83.94444444444444
NONE,16,2130,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,15.877192982456142
FULL,16,2130,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,82.0
NONE,16,1830,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,13.437950937950937
FULL,16,1830,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,78.0
NONE,16,1530,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,11.333333333333334
FULL,16,1530,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,68.0
NONE,16,1230,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,8.955555555555556
FULL,16,1230,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,54.0
NONE,16,930,4096,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,6.555555555555556
FULL,16,930,4096,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,46.845328282828284
NONE,16,2430,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,20.305555555555557
FULL,16,2430,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,80.0
NONE,16,2130,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,18.166666666666668
FULL,16,2130,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,78.0
NONE,16,1830,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,15.46031746031746
FULL,16,1830,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,74.0
NONE,16,1530,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,12.923076923076922
FULL,16,1530,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,64.0
NONE,16,1230,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,10.222222222222223
FULL,16,1230,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,51.0
NONE,16,930,2048,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,7.1269841269841265
FULL,16,930,2048,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,44.0
NONE,16,2430,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,24.016666666666666
FULL,16,2430,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,76.0
NONE,16,2130,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,21.462962962962962
FULL,16,2130,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,74.0
NONE,16,1830,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,18.258333333333333
FULL,16,1830,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,69.0
NONE,16,1530,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,15.203703703703704
FULL,16,1530,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,60.0
NONE,16,1230,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,12.311111111111112
FULL,16,1230,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,48.0
NONE,16,930,1024,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,8.0
FULL,16,930,1024,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,41.0
NONE,16,2430,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,28.972727272727273
FULL,16,2430,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,73.83333333333333
NONE,16,2130,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,26.074074074074076
FULL,16,2130,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,71.0
NONE,16,1830,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,21.875
FULL,16,1830,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,67.0
NONE,16,1530,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,18.20740740740741
FULL,16,1530,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,57.916666666666664
NONE,16,1230,512,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,14.75
FULL,16,1230,512,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,46.0
