cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_j_per_token
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-all,0.029819060647116303
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-all,0.5843582924439102
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-all,0.023366139488120635
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-all,0.4694744344392362
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-all,0.021349691261865523
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-all,0.4618736575794385
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-all,0.021374310648248226
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-all,0.45374985992581013
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-all,0.02064115947286325
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-all,0.4567167907245931
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-all,0.02368743386751639
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-all,0.4315851982847222
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,0.026404980633179347
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,0.4732773479504092
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,0.0284933296009679
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,0.5627498657322049
NONE,16,330,4096,Qwen/Qwen3-8B_prefill-all,0.027688767310023787
FULL,16,330,4096,Qwen/Qwen3-8B_decoding-all,0.42651227547113285
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-all,0.021581542511528867
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-all,0.33919635410873655
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-all,0.019703149383484237
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-all,0.3341962078560799
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-all,0.0199186248065389
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-all,0.3288329595940171
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-all,0.019303661459401447
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-all,0.3302670669403006
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-all,0.02171374440011417
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-all,0.31780766603772914
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-all,0.024128800350206165
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-all,0.33835299415535336
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-all,0.025893953523532517
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-all,0.4023189202310364
NONE,16,330,1024,Qwen/Qwen3-8B_prefill-all,0.026782489400431316
FULL,16,330,1024,Qwen/Qwen3-8B_decoding-all,0.3064863983170573
NONE,16,630,1024,Qwen/Qwen3-8B_prefill-all,0.02068268371199791
FULL,16,630,1024,Qwen/Qwen3-8B_decoding-all,0.242435322924215
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-all,0.018802271640353734
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-all,0.23667935321614586
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-all,0.01885349679039849
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-all,0.23280244609979142
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-all,0.019734262366988567
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-all,0.2329454007462717
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-all,0.0205131266988901
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-all,0.23598673100308645
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-all,0.02260135397587852
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-all,0.2368782267122961
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-all,0.024406378580035037
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-all,0.2801100317633584
NONE,16,330,256,Qwen/Qwen3-8B_prefill-all,0.02598874043782552
FULL,16,330,256,Qwen/Qwen3-8B_decoding-all,0.27495003847871075
NONE,16,630,256,Qwen/Qwen3-8B_prefill-all,0.01961915953745901
FULL,16,630,256,Qwen/Qwen3-8B_decoding-all,0.21811487171968616
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,0.01787012460666233
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,0.21303818219643753
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,0.01772026058932834
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,0.20975358915600936
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,0.019832469733279595
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,0.2085083333885185
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,0.019291135971137154
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,0.2105655790399306
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,0.021277180336172596
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,0.22337745855952382
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0.023862610427424887
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,0.24799855020963543
