cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_j_per_token
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-all,0.021249615987141927
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-all,0.45380174067982454
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-all,0.021469029744466146
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-all,0.44505749999999994
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-all,0.020421618143717447
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-all,0.44139406922043006
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-all,0.023455350240071615
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-all,0.42598430555555555
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,0.026269373575846355
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,0.4610153855363985
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,0.028376358032226563
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,0.5499355729166667
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-all,0.01974602762858073
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-all,0.3293800488945578
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-all,0.01948655700683594
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-all,0.3185547275641026
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-all,0.019482177734374998
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-all,0.31964146090534984
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-all,0.02119018046061198
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-all,0.31562768470790376
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-all,0.023754781087239583
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-all,0.3315204185103245
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-all,0.026082908630371094
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-all,0.39196742788461536
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-all,0.018933725992838542
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-all,0.26351722404970757
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-all,0.018796946207682293
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-all,0.2552346527777778
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-all,0.0192220458984375
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-all,0.25966655585106385
