cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,latency_sec_per_token
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-all,0.0001111432393391927
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-all,0.0025730057565789472
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-all,8.308741251627605e-05
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-all,0.0022198645833333332
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-all,6.723658243815104e-05
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-all,0.0017979754704301075
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-all,5.669326782226563e-05
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-all,0.0015505069444444448
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,4.926020304361979e-05
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,0.0014979465996168581
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,4.745610555013021e-05
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,0.0014774791666666669
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-all,0.00010071360270182291
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-all,0.0018925329506802719
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-all,7.533416748046875e-05
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-all,0.001651482371794872
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-all,6.1021931966145835e-05
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-all,0.0013387924382716049
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-all,5.14739990234375e-05
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-all,0.0011532807130584192
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-all,4.4775390625e-05
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-all,0.001103489122418879
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-all,4.326807657877604e-05
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-all,0.0010839142628205128
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-all,9.616597493489583e-05
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-all,0.0015434164839181286
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-all,7.151590983072917e-05
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-all,0.0013515694444444443
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-all,5.795694986979167e-05
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-all,0.001094963430851064
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-all,4.896647135416667e-05
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-all,0.0009414109002976191
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-all,4.2549641927083336e-05
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-all,0.0008950143129770993
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-all,4.114515516493055e-05
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-all,0.0008771527777777776
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-all,9.464518229166666e-05
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-all,0.0013840226715686275
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-all,7.071024576822916e-05
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-all,0.0012065132783882786
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-all,5.715738932291667e-05
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-all,0.0009800424041297936
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-all,4.828355577256945e-05
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-all,0.0008405015432098765
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-all,4.207000732421875e-05
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-all,0.0007960589171974523
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-all,4.0625e-05
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-all,0.0007785879629629628
NONE,16,930,512,Qwen/Qwen3-8B_prefill-all,9.458821614583334e-05
FULL,16,930,512,Qwen/Qwen3-8B_decoding-all,0.0013072495404411765
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-all,7.032267252604167e-05
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-all,0.0011361549908424909
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-all,5.684678819444445e-05
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-all,0.0009225940265486724
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-all,4.80129665798611e-05
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-all,0.0007889004629629629
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-all,4.180806477864583e-05
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-all,0.0007451466295116773
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-all,3.998209635416667e-05
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-all,0.0007273611111111111
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,9.553426106770833e-05
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,0.0012708470394736842
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,7.164442274305555e-05
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,0.0011044606023102308
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,5.787411644345238e-05
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,0.0008969833333333331
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,4.8800094039351854e-05
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,0.0007665902777777779
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,4.237548828125001e-05
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,0.000722452380952381
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,3.9843749999999996e-05
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,0.0007040651041666667
