sm_clock,kv_group,graph_mode,avg_power_mean,avg_temperature_mean,during_time_mean,repeat_count,energy_per_token_mean,experiment_count
1230,128,all,201.78034342930786,38.45474950396825,2.73144375,40,13.774668141444602,96
1230,128,mani,202.00741902636173,38.733606520310396,2.7368684210526317,40,13.818647022388287,76
1230,128,seg,203.60597875844329,40.41313725490196,2.7286423529411765,40,13.884707374201488,85
1230,1024,all,201.67597752698856,38.32021276595744,2.780957446808511,40,14.016550617313243,94
1230,1024,mani,202.53524114050066,39.09467046033633,2.777706896551724,40,14.059926045795843,87
1230,1024,seg,203.4484634698681,40.74583012433303,2.7818312499999998,40,14.14522803321152,80
1230,4096,all,202.09142832139307,38.59823581839152,1.4658691176470586,20,14.808147316216454,68
1230,4096,mani,202.9801392650932,40.146444166565054,1.4736149253731343,20,14.949756746100592,67
1230,4096,seg,203.03503467804333,40.86356312175984,1.4701262295081965,20,14.920545178898555,61
1230,8192,all,203.23818724691148,38.98849750985722,1.1647389830508474,15,15.77994391745744,59
1230,8192,mani,203.28015490259597,40.14781420765027,1.1762672131147542,15,15.930049161980024,61
1230,8192,seg,203.87666464594852,41.17874525166192,1.187251851851852,15,16.131526214815185,54
1530,128,all,248.6270364071554,42.198412698412696,2.2168968253968253,40,13.77637130974336,63
1530,128,mani,249.38162074494946,42.42707070707071,2.219690909090909,40,13.835899233226009,55
1530,128,seg,249.29498477366255,44.0181841563786,2.218698148148148,40,13.82751166988683,54
1530,1024,all,248.6703218488925,42.62830700012038,2.2588098591549297,40,14.039602341428537,71
1530,1024,mani,250.4290146423796,42.81464128464128,2.2551666666666668,40,14.11409081121895,66
1530,1024,seg,248.0277300576748,44.23973245362465,2.2595594202898552,40,14.011598171343365,69
1530,4096,all,249.22818439534876,41.998181216931215,1.1884104166666667,20,14.804558914206007,48
1530,4096,mani,248.55996393980092,43.37992124988278,1.191895348837209,20,14.81354157868858,43
1530,4096,seg,248.68173425424752,44.12828590546376,1.1972254901960784,20,14.890632815228942,51
1530,8192,all,251.18809033986517,42.97674418604651,0.9527697674418604,15,15.954571713113566,43
1530,8192,mani,247.90362074360445,43.92958833801857,0.9689930232558139,15,16.012188717114178,43
1530,8192,seg,239.35808653583337,44.16374358974359,0.9606155555555553,15,15.308449121835487,45
1830,128,all,279.15959667191277,44.951420454545456,1.9026708333333335,40,13.278947821856525,48
1830,128,mani,281.29691536507124,44.99603235540735,1.9048,40,13.395733900437754,48
1830,128,seg,273.3827410251668,46.10203484116528,1.904930434782609,40,13.019819238557828,46
1830,1024,all,275.38087957646206,44.945962068667086,1.9320684210526313,40,13.301922906941906,57
1830,1024,mani,278.6416315821369,45.180856180856175,1.936206349206349,40,13.488191062318249,63
1830,1024,seg,274.00792543305164,46.557377049180324,1.9355655737704915,40,13.259140930577432,61
1830,4096,all,280.721145210851,44.91184274461664,1.0205714285714285,20,14.329825092325157,42
1830,4096,mani,273.39186852015956,45.758593406593405,1.0285425,20,14.057938369536696,40
1830,4096,seg,273.3618968454415,46.53339455682391,1.02365,20,13.991259412810223,40
1830,8192,all,276.9702446757685,45.761237918590865,0.8152297297297298,15,15.051249315756868,37
1830,8192,mani,274.31328474312284,47.11729967649621,0.8307526315789476,15,15.19949057134913,38
1830,8192,seg,275.5603920460124,48.21280864197531,0.8295194444444445,15,15.247238938947431,36
2130,128,all,304.85195339506976,47.18690245478036,1.8405046511627907,40,14.027985303235294,43
2130,128,mani,306.4467331329385,47.6556974032303,1.8431270833333333,40,14.121354063445523,48
2130,128,seg,307.09468316750264,49.050613013806384,1.8428232558139532,40,14.14871744175018,43
2130,1024,all,305.2716005355202,47.68115715420246,1.8667032258064518,40,14.247372268407453,62
2130,1024,mani,307.10327497590146,47.71650505599657,1.8725947368421054,40,14.377853857740888,57
2130,1024,seg,307.8392256031429,49.50981756338899,1.8700892857142857,40,14.39319589225678,56
2130,4096,all,305.5079634525958,46.99174627052708,0.9884189189189188,20,15.100502633676339,37
2130,4096,mani,306.5145566359173,48.666666666666664,0.9934138888888889,20,15.226657800598868,36
2130,4096,seg,307.84337914888346,49.6584586883598,0.9926315789473682,20,15.279730860328964,38
2130,8192,all,308.70605867051796,49.08754208754209,0.7947969696969697,15,16.368885850676673,33
2130,8192,mani,309.6744876783278,50.6026776861168,0.8034838709677418,15,16.596063128217423,31
2130,8192,seg,311.05438635683413,51.61845212894354,0.8015571428571427,15,16.630930104021612,35
2422,128,all,365.2751933469677,52.79072668650456,1.8179953488372096,40,16.602815023724816,43
2422,128,mani,367.64467820235495,53.367243632174876,1.8211531914893617,40,16.739641772137265,47
2422,128,seg,368.8113667468473,54.53206739497062,1.820575,40,16.787138600519356,44
2422,1024,all,366.21932371514055,52.934305306650735,1.8463129032258063,40,16.905001943812803,62
2422,1024,mani,367.86903702694184,53.366413529972846,1.8493949152542373,40,17.00957587191829,59
2422,1024,seg,370.0545023589645,55.140004775123835,1.8483490566037735,40,17.101106654778516,53
2422,4096,all,365.1697082906427,51.9833795997857,0.9765783783783785,20,17.83364671981018,37
2422,4096,mani,367.91145917617996,53.85235511693753,0.9823727272727273,20,18.072523248669583,33
2422,4096,seg,369.1225730718567,54.9805346896693,0.9803282051282051,20,18.09456222926194,39
2422,8192,all,369.29898357108897,54.193347264368995,0.7786250000000001,15,19.180015647760456,36
2422,8192,mani,371.8781697510903,55.946369153722095,0.7861939393939394,15,19.501384793261167,33
2422,8192,seg,373.166569351966,56.863163558106166,0.7886352941176472,15,19.626630096710524,34
