model_name,sm_clock,curr_batch_size,curr_during_time,prev_batch_size,prev_during_time,abs_change,pct_change
JunHowie/Qwen3-8B-GPTQ-Int4,330,16.0,0.019562980599647267,8.0,0.016689785714285716,0.0028731948853615505,17.215289246657154
JunHowie/Qwen3-8B-GPTQ-Int4,330,64.0,0.03924173544973545,16.0,0.019562980599647267,0.019678754850088184,100.59180271559951
JunHowie/Qwen3-8B-GPTQ-Int4,330,128.0,0.06474952380952381,64.0,0.03924173544973545,0.025507788359788362,65.00168269178911
JunHowie/Qwen3-8B-GPTQ-Int4,330,256.0,0.10714339682539682,128.0,0.06474952380952381,0.04239387301587301,65.47364447124694
JunHowie/Qwen3-8B-GPTQ-Int4,330,512.0,0.1993268768768769,256.0,0.10714339682539682,0.09218348005148007,86.03748134073464
JunHowie/Qwen3-8B-GPTQ-Int4,630,16.0,0.010978280423280423,8.0,0.009879857142857143,0.0010984232804232795,11.117805293545246
JunHowie/Qwen3-8B-GPTQ-Int4,630,64.0,0.021331280423280426,16.0,0.010978280423280423,0.010353000000000003,94.30438648702707
JunHowie/Qwen3-8B-GPTQ-Int4,630,128.0,0.03506080687830688,64.0,0.021331280423280426,0.013729526455026453,64.36334895322267
JunHowie/Qwen3-8B-GPTQ-Int4,630,256.0,0.05786728571428572,128.0,0.03506080687830688,0.02280647883597884,65.0483570305105
JunHowie/Qwen3-8B-GPTQ-Int4,630,512.0,0.1061178590785908,256.0,0.05786728571428572,0.04825057336430508,83.38143524225026
JunHowie/Qwen3-8B-GPTQ-Int4,922,16.0,0.009127389770723105,8.0,0.008421,0.0007063897707231051,8.388430955030342
JunHowie/Qwen3-8B-GPTQ-Int4,922,64.0,0.01652343915343915,16.0,0.009127389770723105,0.007396049382716046,81.03137445099054
JunHowie/Qwen3-8B-GPTQ-Int4,922,128.0,0.027100104166666666,64.0,0.01652343915343915,0.010576665013227515,64.01007027054723
JunHowie/Qwen3-8B-GPTQ-Int4,930,128.0,0.027249805555555555,8.0,0.008422567901234567,0.01882723765432099,223.5332249629157
JunHowie/Qwen3-8B-GPTQ-Int4,930,256.0,0.04469595238095238,128.0,0.027249805555555555,0.017446146825396823,64.02301399849802
JunHowie/Qwen3-8B-GPTQ-Int4,930,512.0,0.08161211382113821,256.0,0.04469595238095238,0.036916161440185835,82.59396986452407
JunHowie/Qwen3-8B-GPTQ-Int4,1230,16.0,0.007508597883597883,8.0,0.00699681746031746,0.0005117804232804227,7.3144744190196755
JunHowie/Qwen3-8B-GPTQ-Int4,1230,64.0,0.012363518518518518,16.0,0.007508597883597883,0.004854920634920636,64.65815203030037
JunHowie/Qwen3-8B-GPTQ-Int4,1230,128.0,0.020127294973544974,64.0,0.012363518518518518,0.007763776455026456,62.795849283499635
JunHowie/Qwen3-8B-GPTQ-Int4,1230,256.0,0.03349271544715447,128.0,0.020127294973544974,0.013365420473609498,66.40445470281433
JunHowie/Qwen3-8B-GPTQ-Int4,1230,512.0,0.06180931944444444,256.0,0.03349271544715447,0.02831660399728997,84.54556048752904
JunHowie/Qwen3-8B-GPTQ-Int4,1530,16.0,0.006100242504409171,8.0,0.005692861111111111,0.00040738139329806,7.15600442988058
JunHowie/Qwen3-8B-GPTQ-Int4,1530,128.0,0.016667460317460317,16.0,0.006100242504409171,0.010567217813051146,173.22619232617896
JunHowie/Qwen3-8B-GPTQ-Int4,1530,256.0,0.02744938211382114,128.0,0.016667460317460317,0.010781921796360824,64.68845037576611
JunHowie/Qwen3-8B-GPTQ-Int4,1530,512.0,0.05024206140350877,256.0,0.02744938211382114,0.02279267928968763,83.03530911980421
JunHowie/Qwen3-8B-GPTQ-Int4,1822,16.0,0.0051921734892787525,8.0,0.00483488492063492,0.0003572885686438324,7.389805021396725
JunHowie/Qwen3-8B-GPTQ-Int4,1822,256.0,0.0232038547008547,16.0,0.0051921734892787525,0.018011681211575946,346.9006043185579
JunHowie/Qwen3-8B-GPTQ-Int4,2115,64.0,0.007805962962962963,8.0,0.004403766666666667,0.0034021962962962962,77.25650684557074
JunHowie/Qwen3-8B-GPTQ-Int4,2115,128.0,0.012561062500000001,64.0,0.007805962962962963,0.004755099537037038,60.91624517818762
JunHowie/Qwen3-8B-GPTQ-Int4,2122,256.0,0.021213880341880344,16.0,0.004712843915343916,0.016501036426536428,350.1290669273582
JunHowie/Qwen3-8B-GPTQ-Int4,2407,256.0,0.01948851754385965,64.0,0.0072642380952380944,0.012224279448621554,168.28026956653449
JunHowie/Qwen3-8B-GPTQ-Int4,2415,512.0,0.03596453703703704,16.0,0.004468346560846561,0.031496190476190476,704.8734928524276
JunHowie/Qwen3-8B-GPTQ-Int8,330,16.0,0.021279814814814817,8.0,0.019208301587301586,0.002071513227513231,10.78446846587773
JunHowie/Qwen3-8B-GPTQ-Int8,330,64.0,0.04215288888888889,16.0,0.021279814814814817,0.020873074074074075,98.0886077050935
JunHowie/Qwen3-8B-GPTQ-Int8,330,128.0,0.07003386243386243,64.0,0.04215288888888889,0.027880973544973542,66.1424976552976
JunHowie/Qwen3-8B-GPTQ-Int8,330,256.0,0.1176845396825397,128.0,0.07003386243386243,0.04765067724867726,68.03948203439003
JunHowie/Qwen3-8B-GPTQ-Int8,330,512.0,0.22027156156156155,256.0,0.1176845396825397,0.10258702187902186,87.17119696075271
JunHowie/Qwen3-8B-GPTQ-Int8,630,16.0,0.014606507936507937,8.0,0.013754396825396824,0.0008521111111111125,6.195190686499105
JunHowie/Qwen3-8B-GPTQ-Int8,630,64.0,0.023222063492063492,16.0,0.014606507936507937,0.008615555555555555,58.984362265135125
JunHowie/Qwen3-8B-GPTQ-Int8,630,128.0,0.0381922619047619,64.0,0.023222063492063492,0.01497019841269841,64.46540987976677
JunHowie/Qwen3-8B-GPTQ-Int8,630,256.0,0.06358160317460318,128.0,0.0381922619047619,0.025389341269841277,66.47771041462111
JunHowie/Qwen3-8B-GPTQ-Int8,630,512.0,0.11769182539682539,256.0,0.06358160317460318,0.05411022222222221,85.10358267253604
