cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,iteration,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util,avg_temperature
FULL,8,930,32,Qwen/Qwen3-8B_decoding-all,34,0,930,468767,1216,2.9731,152,161.75206666666665,480.90506940666666,100.0,46.0,33.0
FULL,8,930,32,Qwen/Qwen3-8B_decoding-all,34,1,930,484647,1216,2.9732,152,161.858,481.2362056,100.0,46.0,33.0
FULL,8,930,32,Qwen/Qwen3-8B_decoding-all,34,2,930,469073,1216,2.9727,152,161.82366666666667,481.0532139,100.0,46.0,33.0
FULL,8,930,32,Qwen/Qwen3-8B_decoding-all,35,0,930,484721,1216,2.973,152,161.9046,481.34237579999996,100.0,46.0,33.0
FULL,8,930,32,Qwen/Qwen3-8B_decoding-all,35,1,930,469198,1216,2.9734,152,161.88099999999997,481.3369653999999,100.0,46.0,33.0
FULL,8,930,32,Qwen/Qwen3-8B_decoding-all,35,2,930,469337,1216,2.9732,152,162.02966666666663,481.7466049333332,100.0,46.0,33.0
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-all,0,0,1230,640581,15360,2.7045,60,237.52350000000004,642.3823057500001,100.0,23.0,37.92857142857143
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-all,0,1,1230,641213,15360,2.7045,60,237.8665,643.3099492499999,100.0,23.0,38.0
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-all,0,2,1230,619291,15360,2.7044,60,238.32492857142861,644.5259368285716,100.0,23.0,38.857142857142854
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,32,0,1230,294344,808,1.6989,101,183.49344444444444,311.7370127666667,100.0,53.0,35.0
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,32,1,1230,312318,808,1.699,101,184.22788888888888,313.0031832222222,100.0,53.0,35.0
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,32,2,1230,312387,808,1.6993,101,184.15455555555556,312.93383625555555,100.0,53.0,35.0
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,33,0,1230,294453,808,1.6987,101,183.9872222222222,312.5390943888888,100.0,53.0,35.0
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,33,1,1230,312672,808,1.6987,101,184.13744444444444,312.7942768777778,100.0,53.0,35.0
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,33,2,1230,312490,808,1.699,101,184.17999999999998,312.92181999999997,100.0,53.0,35.0
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,34,0,1230,294519,808,1.6991,101,184.06644444444444,312.74729575555557,100.0,53.0,35.0
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,34,1,1230,294476,808,1.699,101,183.71766666666664,312.13631566666663,100.0,53.0,35.0
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,34,2,1230,294545,808,1.6993,101,184.03344444444443,312.7280321444444,100.0,53.0,35.0
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,35,0,1230,312408,808,1.6992,101,184.4651111111111,313.4431168,100.0,53.0,35.0
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,35,1,1230,294449,808,1.6988,101,183.97788888888888,312.54163764444445,100.0,53.0,35.0
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,35,2,1230,312584,808,1.6989,101,184.29277777777781,313.09500016666675,100.0,53.0,35.0
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-all,0,0,1515,858724,19200,2.755,75,318.2997857142858,876.9159096428574,100.0,29.0,42.0
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-all,0,1,1515,860760,19200,2.7549,75,318.84521428571435,878.3866808357145,100.0,29.0,43.0
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-all,0,2,1515,893227,19200,2.7547,75,319.21935714285706,879.3535631214284,100.0,29.0,44.0
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,32,0,1530,359557,1000,1.7088,125,224.91700000000003,384.33816960000007,100.0,64.0,39.0
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,32,1,1530,359622,1000,1.7088,125,224.79044444444446,384.1219114666667,100.0,64.0,39.0
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,32,2,1530,381762,1000,1.7087,125,224.79011111111112,384.0988628555556,100.0,64.0,39.0
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,33,0,1530,359796,1000,1.7089,125,224.8033333333333,384.1664163333333,100.0,64.0,39.0
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,33,1,1530,381807,1000,1.7088,125,223.97133333333332,382.7222144,100.0,64.0,39.0
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,33,2,1530,381836,1000,1.7087,125,224.90588888888888,384.29669234444447,100.0,64.0,39.0
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,34,0,1530,381895,1000,1.7091,125,224.88544444444443,384.3517131,100.0,64.0,39.0
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,34,1,1530,381659,1000,1.709,125,224.97644444444444,384.48474355555555,100.0,64.0,39.0
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,34,2,1530,359732,1000,1.709,125,225.09544444444447,384.6881145555556,100.0,64.0,39.0
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,35,0,1530,381704,1000,1.7089,125,224.98633333333333,384.47914503333334,100.0,64.0,39.0
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,35,1,1530,360080,1000,1.7089,125,225.21866666666665,384.87617946666666,100.0,64.0,39.0
