sm_clock,kv_group,kv_cache_lens,graph_mode,batch_size,avg_power,avg_total_energy_delta,avg_print_index,points
1320,1024,1036,seg,5,214.3974166666667,470105.0,16.5,12
1320,1024,1036,seg,6,212.65675,488428.0,17.5,12
1320,1024,1036,seg,7,214.12383333333332,490094.0,16.5,12
1320,1024,1036,seg,8,214.61216666666667,472740.0,16.5,12
1320,1024,1036,seg,9,219.8418333333333,525988.0,17.5,12
1320,1024,1036,seg,10,220.62275,527031.0,17.5,12
1320,1024,1036,seg,11,221.63549999999998,530217.0,17.5,12
1320,1024,1036,seg,12,222.422,508698.0,17.5,12
1320,1024,1036,seg,13,222.7406923076923,532977.0,18.0,13
1320,1024,1036,seg,14,221.98246153846154,532847.0,18.0,13
1320,1024,1036,seg,15,222.40430769230767,554266.0,18.0,13
1320,1024,1036,seg,16,222.18776923076922,531749.0,18.0,13
1320,1024,1037,mani,1,223.30672727272724,445405.0,16.0,11
1320,1024,1037,mani,2,209.75327272727273,441535.0,16.0,11
1320,1024,1037,mani,3,213.21527272727272,467238.0,16.0,11
1320,1024,1037,mani,4,211.90441666666666,465780.0,16.5,12
1320,1024,1037,mani,5,212.30766666666668,465070.0,16.5,12
1320,1024,1037,mani,6,210.77275,462484.0,17.5,12
1320,1024,1037,mani,7,213.11625,466594.0,17.5,12
1320,1024,1037,mani,8,215.04691666666668,492736.0,17.5,12
1320,1024,1037,mani,9,214.10891666666666,491146.0,17.5,12
1320,1024,1037,mani,10,216.04223076923077,495163.0,18.0,13
1320,1024,1037,mani,11,218.28276923076922,522463.0,18.0,13
1320,1024,1037,mani,12,221.09546153846154,505944.0,18.0,13
1320,1024,1037,mani,13,222.73775,510691.0,17.5,12
1320,1024,1037,mani,14,223.41633333333334,534160.0,17.5,12
1320,1024,1037,mani,15,223.567,557012.0,18.0,13
1320,1024,1037,mani,16,223.29846153846154,534330.0,18.0,13
1320,1024,1037,seg,1,221.72963636363636,442145.0,15.0,11
1320,1024,1037,seg,2,208.51700000000002,458131.0,16.5,12
1320,1024,1037,seg,3,210.82616666666664,462305.0,16.5,12
