model_name,batch_size,best_sm_clock_base,min_energy_per_token_base,best_sm_clock_power_based,min_energy_per_token_power_based
attn,16,930,0.0,1530,0.054887684042075176
mlp,16,930,0.14214212962962963,1530,0.14745436337606838
