cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,iteration,sleep_ns,sleep_freq,kernel,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util,avg_temperature
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,1,0,0,custom,2422,4029062,1600,9.7772,100,411.28122916666666,4021.1788338083334,99.0,44.75,62.958333333333336
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,2,0,0,custom,2422,3980145,1600,9.7778,100,410.0516041666667,4009.4025752208336,99.0,44.791666666666664,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,0,0,0,custom,2422,4015042,1600,9.78,100,409.3379791666666,4003.3254362499993,99.0,44.75,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,1,0,0,custom,2422,4013729,1600,9.7792,100,408.6029375,3995.8098463999995,99.0,44.770833333333336,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,2,0,0,custom,2422,4011123,1600,9.7793,100,410.9812708333334,4019.109141860417,99.0,44.6875,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,0,0,0,custom,2422,4012017,1600,9.7776,100,409.68847916666664,4005.7700738999997,99.0,44.791666666666664,61.770833333333336
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,1,0,0,custom,2422,3968099,1600,9.7776,100,409.1602500000001,4000.6052604000006,99.0,44.791666666666664,61.375
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,2,0,0,custom,2422,4008685,1600,9.7779,100,409.7877708333333,4006.86384443125,99.0,44.895833333333336,61.0625
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,0,0,0,custom,2422,4008867,1600,9.7796,100,409.36116666666663,4003.388465533333,99.0,44.875,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,1,0,0,custom,2422,4008694,1600,9.7795,100,410.2918333333334,4012.448984083334,99.0,44.854166666666664,61.020833333333336
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,2,0,0,custom,2422,4007717,1600,9.7794,100,409.9081666666666,4008.6559251,99.0,44.8125,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,0,0,0,custom,2422,3969468,1600,9.7782,100,410.03264583333333,4009.3812174875,99.0,44.875,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,1,0,0,custom,2422,4007590,1600,9.7785,100,408.43025000000006,3993.8351996250003,99.0,44.791666666666664,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,2,0,0,custom,2422,4007081,1600,9.7784,100,408.3137916666667,3992.6555804333334,99.0,44.895833333333336,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,0,0,0,custom,2422,4005834,1600,9.7815,100,408.9822708333333,4000.4600821562494,99.0,44.770833333333336,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,1,0,0,custom,2422,4008064,1600,9.782,100,409.28989583333333,4003.6737610416667,99.0,44.75,61.0
