batch_size,sm_clock,input_len,model_name,kv_cache_lens,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
16,930,8192,mlp,8221,325227,2160,1.7913,135,181.12330000000003,324.44616729,100.0,52.0
16,930,8192,mlp,8222,325213,2160,1.7912,135,180.80390000000003,323.85594568000005,100.0,52.0
16,930,8192,mlp,8223,325385,2160,1.7909,135,180.85833333333332,323.89918916666664,100.0,52.0
16,930,8192,mlp,8224,325236,2160,1.7911,135,181.04990000000004,324.27847589000004,100.0,52.0
16,930,8192,mlp,8225,325286,2160,1.7911,135,181.16549999999998,324.48552705,100.0,52.0
16,930,8192,mlp,8226,325185,2160,1.7914,135,180.8538,323.98149732,100.0,52.0
16,930,8192,mlp,8227,325358,2160,1.7913,135,180.98030000000003,324.19001139000005,100.0,52.0
16,930,8192,mlp,8228,325286,2160,1.7913,135,181.07429999999997,324.35839358999993,100.0,52.0
16,930,8192,mlp,8229,325165,2160,1.7914,135,181.1373,324.48935922000004,100.0,52.0
16,930,8192,mlp,8230,325149,2160,1.7912,135,180.43259999999998,323.19087311999994,100.0,52.0
16,930,8192,mlp,8231,325232,2160,1.791,135,180.918,324.024138,100.0,52.0
16,930,8192,mlp,8232,325512,2160,1.791,135,181.1168,324.3801888,100.0,52.0
16,930,8192,mlp,8233,325227,2160,1.7908,135,181.2264,324.54023712000003,100.0,52.0
16,930,8192,mlp,8234,307261,2160,1.7909,135,179.6144,321.67142895999996,100.0,52.0
16,930,8192,mlp,8235,325416,2160,1.791,135,180.3608888888889,323.026352,100.0,52.0
16,930,8192,mlp,8236,325259,2160,1.791,135,181.20600000000002,324.53994600000004,100.0,52.0
16,930,8192,mlp,8237,325397,2160,1.7909,135,181.20744444444443,324.52441225555555,100.0,52.0
16,930,8192,mlp,8238,307505,2160,1.7908,135,180.507,323.2519356,100.0,52.0
16,1230,8192,mlp,8204,657228,4320,3.1125,270,205.68406666666667,640.1916575,100.0,60.0
16,1230,8192,mlp,8205,637108,4320,3.1125,270,205.765,640.4435624999999,100.0,60.0
16,1230,8192,mlp,8206,637409,4320,3.1126,270,205.83373333333333,640.6780783733333,100.0,60.0
16,1230,8192,mlp,8207,637643,4320,3.1127,270,205.9055625,640.92224439375,100.0,60.0
16,1230,8192,mlp,8208,637149,4320,3.1127,270,205.9324375,641.00589820625,100.0,60.0
16,1230,8192,mlp,8209,637248,4320,3.114,270,206.08233333333334,641.740386,100.0,60.0
16,1230,8192,mlp,8210,637632,4320,3.1131,270,206.08462500000002,641.5620460875001,100.0,60.0
16,1230,8192,mlp,8211,636962,4320,3.1127,270,205.98493333333332,641.1693019866666,100.0,60.0
16,1230,8192,mlp,8212,655549,4320,3.113,270,205.252125,638.949865125,100.0,60.0
16,1230,8192,mlp,8213,634077,4320,3.1147,270,204.86066666666665,638.0795184666666,100.0,60.0
16,1230,8192,mlp,8214,654055,4320,3.1154,270,204.7423333333333,637.8542652666666,100.0,60.0
16,1230,8192,mlp,8215,634199,4320,3.1156,270,204.83146666666664,638.1729175466667,100.0,60.0
16,1230,8192,mlp,8216,633679,4320,3.1148,270,204.77540000000002,637.83441592,100.0,60.0
16,1230,8192,mlp,8217,654059,4320,3.1157,270,204.79781250000002,638.0885444062501,100.0,60.0
16,1230,8192,mlp,8218,633762,4320,3.1154,270,204.81799999999993,638.0899971999999,100.0,60.0
16,1230,8192,mlp,8219,654254,4320,3.116,270,204.8635625,638.3548607500001,100.0,60.0
16,1230,8192,mlp,8220,634040,4320,3.1157,270,204.7904,638.06544928,100.0,60.0
16,1230,8192,mlp,8221,633859,4320,3.1158,270,204.8385,638.2357983,100.0,60.0
16,1230,8192,mlp,8222,654249,4320,3.1153,270,204.8156666666667,638.0622463666667,100.0,60.0
