cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,gpu_util_pct
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,2,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,2,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,2,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,4,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,4,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,4,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,4,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,4,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,4,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,4,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,4,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,4,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,4,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,4,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,4,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,4,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,4,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,8,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,8,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,8,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,8,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,8,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,8,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,8,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,8,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,8,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,8,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,8,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,8,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,8,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,8,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,16,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,16,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,16,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,16,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,16,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,16,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,16,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,16,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,16,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,16,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,16,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,16,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,16,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,16,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,32,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,32,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,32,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,32,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,32,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,32,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,32,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,32,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,32,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,32,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,32,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,32,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,32,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,32,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,64,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,64,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,64,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,64,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,64,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,64,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,64,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,64,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,64,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,64,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,64,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,64,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,64,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,64,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,128,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,128,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,128,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,128,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,128,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,128,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,128,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,128,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,128,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,128,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,128,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,128,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,128,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,128,2422,99.0
