cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,power_based_avg_power_W
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,16,2422,545.3595680751173
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,16,2422,397.71629176470594
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,16,2422,542.1476995305164
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,16,2422,398.15582306463324
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,16,2422,540.0675117370891
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,16,2422,398.52426148148146
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,16,2422,541.6727370892019
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,16,2422,398.29429629629624
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,16,2422,541.0077793427231
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,16,2422,398.2461199999999
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,32,2422,547.6422213093375
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,32,2422,389.17649928774927
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,32,2422,544.5158309859155
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,32,2422,394.0743986928106
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,32,2422,543.5067605633803
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,32,2422,395.880752607117
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,32,2422,541.3668779342725
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,32,2422,396.6045763834423
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,32,2422,540.2469389671361
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,32,2422,397.2687053885257
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,32,2422,539.4415070422536
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,32,2422,397.39211185185184
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,32,2422,541.1276666666668
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,32,2422,397.6297185185184
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,64,2422,558.0188876499739
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,64,2422,384.1318520534322
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,64,2422,549.6052629107983
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,64,2422,389.53478234456173
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,64,2422,545.4947840375586
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,64,2422,393.77223965141616
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,64,2422,542.754234741784
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,64,2422,396.0610899201162
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,64,2422,540.1417136150235
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,64,2422,396.65908120551927
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,64,2422,541.0683755868545
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,64,2422,397.72348592592584
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,64,2422,541.0893896713616
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,64,2422,397.976485620915
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,128,2422,573.927103286385
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,128,2422,366.0659363275613
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,128,2422,559.8927934272301
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,128,2422,385.0209971509971
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,128,2422,548.7149557902973
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,128,2422,389.7608534998045
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,128,2422,543.8034647887324
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,128,2422,394.1139411764706
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,128,2422,545.7335305164319
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,128,2422,396.0798601597676
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,128,2422,540.4042253521127
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,128,2422,397.16924971677554
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,128,2422,541.0472018779343
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,128,2422,397.544217037037
