cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,memory_util_pct
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,16,2422,29.708920187793428
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,16,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,16,2422,30.97183098591549
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,16,2422,44.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,16,2422,29.943661971830988
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,16,2422,42.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,16,2422,29.953051643192484
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,16,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,32,2422,30.317749087115285
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,32,2422,42.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,32,2422,29.96244131455399
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,32,2422,42.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,32,2422,29.929577464788732
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,32,2422,42.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,32,2422,28.943661971830988
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,32,2422,42.99564270152506
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,32,2422,29.295774647887328
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,32,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,32,2422,30.943661971830988
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,32,2422,43.87851851851851
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,32,2422,29.96713615023474
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,32,2422,43.02888888888888
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,64,2422,33.87415232133542
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,64,2422,40.7545288394345
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,64,2422,30.943661971830988
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,64,2422,42.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,64,2422,30.370892018779344
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,64,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,64,2422,29.60093896713615
