cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,avg_temperature_C
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,16,2422,68.69953051643193
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,16,2422,60.96445896877268
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,16,2422,68.5962441314554
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,16,2422,60.77034132171387
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,16,2422,68.56338028169013
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,16,2422,60.947407407407404
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,16,2422,68.69483568075117
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,16,2422,60.851851851851855
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,16,2422,68.46478873239437
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,16,2422,60.68888888888888
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,32,2422,68.97424360980699
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,32,2422,60.309116809116816
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,32,2422,68.70892018779342
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,32,2422,60.42193173565723
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,32,2422,68.44131455399061
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,32,2422,60.45098039215686
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,32,2422,68.59154929577464
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,32,2422,60.52148148148148
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,32,2422,68.22065727699531
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,32,2422,60.39703703703704
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,32,2422,68.14553990610328
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,32,2422,60.36222222222222
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,32,2422,68.09389671361502
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,32,2422,60.32592592592592
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,64,2422,69.30249087115284
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,64,2422,59.482905982905976
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,64,2422,68.82159624413146
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,64,2422,60.029230210602755
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,64,2422,68.5868544600939
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,64,2422,60.360929557007985
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,64,2422,68.47417840375586
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,64,2422,60.46479302832244
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,64,2422,68.22535211267606
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,64,2422,60.40541757443719
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,64,2422,68.4037558685446
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,64,2422,60.44962962962963
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,64,2422,68.36150234741784
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,64,2422,60.49333333333334
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,128,2422,70.03755868544602
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,128,2422,58.21783309283309
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,128,2422,69.34350547730828
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,128,2422,59.53490028490028
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,128,2422,68.58789775691184
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,128,2422,59.8458605664488
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,128,2422,68.53051643192488
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,128,2422,60.35003631082063
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,128,2422,68.34272300469483
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,128,2422,60.39037037037037
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,128,2422,68.25821596244131
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,128,2422,60.37703703703704
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,128,2422,68.26760563380282
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,128,2422,60.410370370370366
