cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,total_energy_based_avg_power_W
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,16,2422,396.57587176365115
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,16,2422,538.7878295421773
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,16,2422,397.5734169052483
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,16,2422,539.2969227633993
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,16,2422,397.99112088058007
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,16,2422,541.7461015218431
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,16,2422,399.0479113527317
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,16,2422,537.8018361733945
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,16,2422,398.3689683256022
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,16,2422,539.3109923377439
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,16,2422,398.5167282605594
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,32,2422,547.2330283623055
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,32,2422,389.81263769677355
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,32,2422,541.483818366286
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,32,2422,394.1196392487594
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,32,2422,538.1498857459485
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,32,2422,395.2400556422026
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,32,2422,537.5736285881127
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,32,2422,396.8904443034939
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,32,2422,537.818439976183
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,32,2422,397.99451453647833
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,32,2422,541.3395858329593
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,32,2422,397.3197473819266
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,32,2422,537.5282357790602
