sm_clock,input_len,graph_mode,avg_power_mean,avg_temperature_mean,during_time_mean,repeat_count,energy_per_token_mean,experiment_count
630,32,seg,155.44823359375005,39.85807291666667,1.1358551724137933,37,0.08254520399214328,116
630,128,seg,157.00096145833336,39.628125,1.1932713043478262,37,0.08540508757448895,115
630,256,seg,157.54076383928572,37.507738095238096,1.2571780701754387,37,0.08842427741641834,114
930,32,seg,176.23587890625004,40.03203125000001,0.9444689075630253,37,0.07949113097419334,119
930,128,seg,177.87929765624997,39.75859375,0.9900384615384615,37,0.0820737621747819,117
930,256,seg,178.15314999999998,39.5,1.0509885964912282,37,0.08446134900195115,114
1230,32,seg,207.0737796688988,42.7421875,1.572450420168067,75,0.0781873711941606,119
1230,128,seg,208.8337377232143,42.68191964285714,1.6530974358974357,75,0.08089590146246337,117
1230,256,seg,210.3041768043155,42.45669022817461,1.769909734513274,75,0.08458229950948322,113
1530,32,seg,239.74453534226188,45.31316964285715,1.282563247863248,75,0.07475742714449055,117
1530,128,seg,240.59285751488093,45.22752976190476,1.347062931034483,75,0.07672361541465057,116
1530,256,seg,240.66440773809524,45.023809523809526,1.4408575221238937,75,0.07975540380421955,113
1830,32,seg,290.2743458333333,50.21119791666666,1.1032327731092437,75,0.0744262566639038,119
1830,128,seg,291.1282552083333,49.680729166666666,1.1610833333333335,75,0.07673367437338052,114
1830,256,seg,290.2629223586309,49.25892857142857,1.2441648648648647,75,0.08014299484078108,111
2130,32,seg,339.2152046874999,54.16328125,1.0350203389830508,75,0.08082775194905394,118
2130,128,seg,338.76527760416667,53.89088541666666,1.0941929203539822,75,0.08359714263970337,113
2130,256,seg,335.68898020833336,53.437500000000014,1.176853153153153,75,0.08702280331736655,111
2422,32,seg,420.6531338541667,61.17786458333334,1.0027376068376068,75,0.09632037092337035,117
2422,128,seg,417.93705182291666,60.65572916666667,1.0618849557522123,75,0.09957496437087199,113
2422,256,seg,412.87847708333334,59.96640625,1.1461281818181819,75,0.10362793318785601,110
