cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,avg_temperature_C
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-mlp,54.75308641975309
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-mlp,45.90686274509804
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-mlp,48.47563874034463
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-mlp,43.103163992869874
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-mlp,44.873200442967885
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-mlp,40.42857142857142
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-mlp,67.54385964912281
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-mlp,59.068518518518516
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-mlp,72.1968537414966
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-mlp,55.68456196581196
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-mlp,63.778114478114475
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-mlp,51.46666666666667
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-mlp,54.9
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-mlp,46.05392156862745
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-mlp,47.911972789115644
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-mlp,42.07761437908497
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-mlp,43.128787878787875
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-mlp,38.319940476190474
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-mlp,60.01149425287357
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-mlp,52.586342592592594
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-mlp,65.85333333333334
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-mlp,50.87232905982906
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-mlp,58.14492753623188
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-mlp,46.923809523809524
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-mlp,50.34761904761905
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-mlp,43.328431372549026
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-mlp,45.13333333333333
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-mlp,39.42171717171717
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-mlp,40.85507246376812
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-mlp,36.30409356725146
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-mlp,58.65057471264368
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-mlp,52.5814393939394
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-mlp,64.71641025641026
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-mlp,49.61955128205128
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-mlp,56.84615384615384
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-mlp,45.9
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-mlp,49.59722222222222
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-mlp,42.666666666666664
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-mlp,44.0
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-mlp,38.44444444444445
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-mlp,39.913043478260875
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-mlp,35.43708228905597
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-mlp,53.91111111111112
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-mlp,50.27525252525252
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-mlp,62.34432234432234
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-mlp,48.295993589743595
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-mlp,55.062271062271066
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-mlp,45.30238095238095
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-mlp,48.666666666666664
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-mlp,42.2156862745098
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-mlp,44.23260073260074
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-mlp,37.8371954842543
NONE,16,930,512,Qwen/Qwen3-8B_prefill-mlp,39.0
FULL,16,930,512,Qwen/Qwen3-8B_decoding-mlp,33.74187859680146
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-mlp,58.47772772772773
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-mlp,51.262247474747475
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-mlp,62.93137254901961
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-mlp,48.43894230769231
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-mlp,55.19191919191919
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-mlp,45.01190476190476
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-mlp,48.0
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-mlp,41.754901960784316
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-mlp,44.0
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-mlp,37.627450980392155
NONE,16,930,256,Qwen/Qwen3-8B_prefill-mlp,38.822916666666664
FULL,16,930,256,Qwen/Qwen3-8B_decoding-mlp,35.020833333333336
