cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,memory_util_pct
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-mlp,89.0
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-mlp,25.675213675213673
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-mlp,88.0
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-mlp,22.307407407407407
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-mlp,86.0
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-mlp,18.728395061728392
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-mlp,73.09558823529413
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-mlp,15.485442661913249
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-mlp,60.0
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-mlp,11.9796973052787
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-mlp,52.916666666666664
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-mlp,26.52046783625731
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-mlp,89.0
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-mlp,25.723497732426306
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-mlp,88.0
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-mlp,22.26178451178451
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-mlp,86.0
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-mlp,19.2
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-mlp,73.03676470588236
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-mlp,14.938231292517008
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-mlp,60.0
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-mlp,11.473220577871741
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-mlp,53.0
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-mlp,27.18390804597701
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-mlp,88.76822916666667
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-mlp,26.319999999999997
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-mlp,88.0
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-mlp,22.681159420289855
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-mlp,86.0
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-mlp,19.4047619047619
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-mlp,73.15686274509805
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-mlp,16.400000000000002
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-mlp,60.0
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-mlp,11.550724637681158
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-mlp,53.0
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-mlp,28.92222222222222
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-mlp,89.0
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-mlp,28.0
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-mlp,88.0
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-mlp,24.294871794871796
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-mlp,86.0
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-mlp,21.0
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-mlp,73.05637254901961
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-mlp,17.05333333333333
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-mlp,60.0
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-mlp,13.0
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-mlp,52.75
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-mlp,30.0
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-mlp,89.0
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-mlp,29.0
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-mlp,88.0
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-mlp,25.194139194139193
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-mlp,86.0
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-mlp,21.384615384615387
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-mlp,73.125
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-mlp,17.545787545787544
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-mlp,60.0
NONE,16,930,512,Qwen/Qwen3-8B_prefill-mlp,13.277777777777779
FULL,16,930,512,Qwen/Qwen3-8B_decoding-mlp,52.080128205128204
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-mlp,25.945945945945947
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-mlp,89.0
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-mlp,24.019607843137255
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-mlp,88.0
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-mlp,21.0
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-mlp,86.0
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-mlp,18.0
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-mlp,73.14950980392157
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-mlp,15.0
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-mlp,60.0
NONE,16,930,256,Qwen/Qwen3-8B_prefill-mlp,11.0
FULL,16,930,256,Qwen/Qwen3-8B_decoding-mlp,52.583333333333336
