cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_avg_power_W
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-attn,212.1110011397037
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-attn,160.54155951397902
NONE,16,930,256,Qwen/Qwen3-8B_prefill-attn,175.1314509779706
FULL,16,930,256,Qwen/Qwen3-8B_decoding-attn,139.58839563258698
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-mlp,596.4234435850091
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-mlp,377.8225004524028
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-mlp,575.8789110592674
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-mlp,316.6625066929018
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-mlp,450.5262966663639
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-mlp,279.97838250544146
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-mlp,324.03181965996043
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-mlp,231.17375414275085
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-mlp,249.6979113323025
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-mlp,205.47158205092848
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-mlp,203.42035419946464
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-mlp,183.321279503285
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-mlp,594.5152573931159
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-mlp,377.9236109866877
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-mlp,571.6732674258375
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-mlp,317.2605528024745
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-mlp,449.3996493507908
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-mlp,281.43436011938667
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-mlp,324.1172312633046
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-mlp,229.59801104560043
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-mlp,242.55125672192491
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-mlp,204.8623738608737
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-mlp,203.2309386039374
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-mlp,181.78158553584697
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-mlp,600.5520275527484
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-mlp,339.5471175468594
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-mlp,557.8249771741232
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-mlp,311.88653942305166
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-mlp,440.60375910453376
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-mlp,275.5584781576908
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-mlp,318.29292155168196
