cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,throughput_tokens_per_sec
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-mlp,1975.7273255615194
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-mlp,24126.493272221916
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-mlp,1690.4522566184892
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-mlp,19550.04897257039
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-mlp,1373.3662816800827
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-mlp,14845.117959521136
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-mlp,1212.187068656626
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-mlp,33482.193794863204
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-mlp,2064.0352606023685
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-mlp,32799.37807168858
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-mlp,2042.4622261089244
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-mlp,28546.76593257807
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-mlp,1975.0746166640085
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-mlp,24099.335231892528
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-mlp,1690.4246585566088
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-mlp,19293.200225045464
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-mlp,1373.4213091011084
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-mlp,14575.810032879495
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-mlp,1207.3279744637418
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-mlp,33744.336125223126
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-mlp,1847.746935659271
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-mlp,32757.29928223447
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-mlp,2042.3754030764376
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-mlp,28469.56949854472
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-mlp,1973.3369148172137
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-mlp,24044.221957702157
