cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,iteration,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util,avg_temperature
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-mlp,2048,0,1530,1636891,12080,7.148,755,230.65629411764704,1648.731190352941,100.0,73.05882352941177,44.0
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-mlp,2048,1,1530,1669799,12080,7.1414,755,238.63732352941173,1704.204582252941,100.0,73.29411764705883,44.0
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-mlp,2048,2,1530,1709368,12080,7.1415,755,241.50785294117645,1724.7283317794115,100.0,73.17647058823529,43.294117647058826
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-mlp,2049,0,1530,1804041,12080,7.1419,755,254.22344117647057,1815.6383945382352,100.0,73.3529411764706,44.0
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-mlp,2049,1,1530,1803546,12080,7.1424,755,254.18726470588237,1815.5071194352943,100.0,73.1470588235294,43.64705882352941
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-mlp,2049,2,1530,1802365,12080,7.1422,755,254.02679411764706,1814.3101689470589,100.0,73.08823529411765,43.0
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-mlp,2050,0,1530,1800776,12080,7.1418,755,253.79176470588234,1812.5300251764704,100.0,73.3529411764706,43.0
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-mlp,2050,1,1530,1775806,12080,7.1418,755,253.81150000000002,1812.6709707000002,100.0,73.20588235294117,43.0
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-mlp,2050,2,1530,1824972,12080,7.142,755,253.72014705882356,1812.069290294118,100.0,73.08823529411765,43.0
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-mlp,2051,0,1530,1800675,12080,7.142,755,253.78082352941172,1812.5026416470587,100.0,73.05882352941177,43.0
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-mlp,2051,1,1530,1799930,12080,7.1423,755,253.70700000000002,1812.0515061,100.0,73.05882352941177,43.0
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-mlp,2051,2,1530,1774899,12080,7.142,755,253.71620588235297,1812.041142411765,100.0,73.0,43.0
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-mlp,0,0,1230,1268308,98304,5.0485,3,254.20888,1283.37353068,100.0,16.32,45.36
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-mlp,0,1,1230,1237197,98304,5.0091,3,253.22915999999998,1268.450185356,100.0,16.64,45.04
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-mlp,0,2,1230,1294322,98304,5.0455,3,253.921,1281.1584054999998,100.0,16.24,45.0
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-mlp,2048,0,1230,1443276,9712,7.0722,607,206.26696969696968,1458.7612630909089,100.0,60.0,41.0
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-mlp,2048,1,1230,1441602,9712,7.0726,607,205.98778787878788,1456.8692285515153,100.0,60.0,40.0
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-mlp,2048,2,1230,1439794,9712,7.0722,607,205.87811764705882,1456.0112236235293,100.0,60.0,40.0
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-mlp,2049,0,1230,1437068,9712,7.0868,607,205.38402941176471,1455.5155396352943,100.0,60.0,40.0
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-mlp,2049,1,1230,1436121,9712,7.0863,607,205.26960606060607,1454.6020094272726,100.0,60.0,39.06060606060606
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-mlp,2049,2,1230,1454939,9712,7.0869,607,205.12269696969696,1453.6840411545454,100.0,60.0,39.0
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-mlp,2050,0,1230,1433137,9712,7.0853,607,204.91782352941178,1451.9042550529414,100.0,60.0,39.0
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-mlp,2050,1,1230,1453086,9712,7.0855,607,204.8215294117647,1451.2629466470587,100.0,60.0,39.0
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-mlp,2050,2,1230,1432771,9712,7.0874,607,204.85366666666667,1451.8798771333334,100.0,60.0,39.0
