cudagraph_mode,manipulated,batch_size,graph_batch_size,during_time,index,length,avg_power_js,total_energy_j,energy_per_sample,throughput,timestamp,power,temperature,graphics_clock,sm_clock,memory_clock,memory_used,memory_total,gpu_util,memory_util,power_violation_time_ns,power_reference_time_ns,thermal_violation_time_ns,decoding_steps,perf_state,power_state,total_energy,model_mode,kv_cache_lens,model_name,graph_mode,repeat_count
FULL,,2,2,1.4425,11,15,,,,,1773199520.8704076,213.549,62,1320,1320,9001,45402.0625,46068.0,100,100,14352685512384,1773199520861725,0,,0,0,24662443946,,8194,llama,all,60
FULL,,2,2,1.4425,12,15,,,,,1773199520.9808905,213.4,62,1320,1320,9001,45402.0625,46068.0,100,100,14352795998336,1773199520972211,0,,0,0,24662465273,,8194,llama,all,60
FULL,,2,2,1.4425,13,15,,,,,1773199521.0905907,213.473,62,1320,1320,9001,45402.0625,46068.0,100,100,14352906269376,1773199521082482,0,,0,0,24662486603,,8194,llama,all,60
FULL,,2,2,1.4425,14,15,,,,,1773199521.2012255,213.603,62,1320,1320,9001,45402.0625,46068.0,100,100,14353016140096,1773199521192353,0,,0,0,24662507948,,8194,llama,all,60
FULL,,2,2,1.4425,15,15,,,,,1773199521.2676601,213.579,62,1320,1320,9001,45402.0625,46068.0,100,100,14353087931456,1773199521264144,0,,0,0,24662529252,,8194,llama,all,60
FULL,,1,1,1.3159,1,14,,,,,1773199521.2781034,213.579,62,1320,1320,9001,45402.0625,46068.0,100,100,14353095600288,1773199521271813,0,,0,0,24662529252,,8195,llama,all,60
FULL,,1,1,1.3159,2,14,,,,,1773199521.310018,213.579,62,1320,1320,9001,45402.0625,46068.0,100,100,14353126669088,1773199521302882,0,,0,0,24662549067,,8195,llama,all,60
FULL,,1,1,1.3159,3,14,,,,,1773199521.4202175,213.477,62,1320,1320,9001,45402.0625,46068.0,100,100,14353235668288,1773199521411881,0,,0,0,24662571249,,8195,llama,all,60
FULL,,1,1,1.3159,4,14,,,,,1773199521.5297008,215.076,62,1320,1320,9001,45402.0625,46068.0,100,100,14353345806272,1773199521522019,0,,0,0,24662593521,,8195,llama,all,60
FULL,,1,1,1.3159,5,14,,,,,1773199521.6389675,215.958,62,1320,1320,9001,45402.0625,46068.0,100,100,14353455512032,1773199521631725,0,,0,0,24662615855,,8195,llama,all,60
FULL,,1,1,1.3159,6,14,,,,,1773199521.7482374,216.904,62,1320,1320,9001,45402.0625,46068.0,100,100,14353564673472,1773199521740887,0,,0,0,24662638139,,8195,llama,all,60
FULL,,1,1,1.3159,7,14,,,,,1773199521.8580627,217.85,62,1320,1320,9001,45402.0625,46068.0,100,100,14353674062208,1773199521850276,0,,0,0,24662660462,,8195,llama,all,60
FULL,,1,1,1.3159,8,14,,,,,1773199521.96722,218.719,62,1320,1320,9001,45402.0625,46068.0,100,100,14353783675232,1773199521959889,0,,0,0,24662682785,,8195,llama,all,60
FULL,,1,1,1.3159,9,14,,,,,1773199522.0778368,219.599,62,1320,1320,9001,45402.0625,46068.0,100,100,14353892871168,1773199522069085,0,,0,0,24662705073,,8195,llama,all,60
FULL,,1,1,1.3159,10,14,,,,,1773199522.1869292,220.367,62,1320,1320,9001,45402.0625,46068.0,100,100,14354003421760,1773199522179636,0,,0,0,24662727414,,8195,llama,all,60
FULL,,1,1,1.3159,11,14,,,,,1773199522.297796,221.255,62,1320,1320,9001,45402.0625,46068.0,100,100,14354112610016,1773199522288824,0,,0,0,24662749707,,8195,llama,all,60
FULL,,1,1,1.3159,12,14,,,,,1773199522.4068756,222.143,62,1320,1320,9001,45402.0625,46068.0,100,100,14354223543776,1773199522399758,0,,0,0,24662794316,,8195,llama,all,60
