cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_avg_power_W
NONE,16,330,8192,Qwen/Qwen3-8B_prefill,102.26060989010989
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,135.08721666666668
NONE,16,630,8192,Qwen/Qwen3-8B_prefill,149.55382951968667
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,168.0924962121212
NONE,16,930,8192,Qwen/Qwen3-8B_prefill,192.4893714285714
FULL,16,930,8192,Qwen/Qwen3-8B_decoding,179.53855694444448
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill,260.35992452830186
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding,204.39053888888893
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill,306.1040310077519
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding,253.5433305555555
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill,416.9561351351352
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding,282.2271416666666
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill,535.5773854166666
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding,315.0406590909091
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill,600.7335483870967
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding,379.7193541666666
NONE,16,330,4096,Qwen/Qwen3-8B_prefill,104.89326506024098
FULL,16,330,4096,Qwen/Qwen3-8B_decoding,130.58471851851849
NONE,16,630,4096,Qwen/Qwen3-8B_prefill,152.24809629629627
FULL,16,630,4096,Qwen/Qwen3-8B_decoding,162.98842171717172
NONE,16,930,4096,Qwen/Qwen3-8B_prefill,195.4750625
FULL,16,930,4096,Qwen/Qwen3-8B_decoding,174.65056666666666
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill,263.95344833333337
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,198.3814074074074
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill,320.45329999999996
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,245.56674074074076
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill,420.3113333333333
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,284.67970740740736
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill,536.1619111111111
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,305.4748371212121
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill,599.2138571428573
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding,369.1350347222222
NONE,16,330,1024,Qwen/Qwen3-8B_prefill,108.46341666666667
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,124.72500833333334
NONE,16,630,1024,Qwen/Qwen3-8B_prefill,155.9617929292929
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,156.0926388888889
NONE,16,930,1024,Qwen/Qwen3-8B_prefill,198.98866666666666
FULL,16,930,1024,Qwen/Qwen3-8B_decoding,168.75679444444444
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill,265.99483333333336
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding,193.29449074074077
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill,354.2593111111111
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding,236.75138703703703
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill,423.62407051282054
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding,279.7938583333334
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill,537.0213952380951
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding,302.65237424242423
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill,599.8354901960784
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding,358.35854166666667
NONE,16,330,256,Qwen/Qwen3-8B_prefill,101.42283333333332
FULL,16,330,256,Qwen/Qwen3-8B_decoding,122.57604015151514
NONE,16,630,256,Qwen/Qwen3-8B_prefill,145.39492592592592
FULL,16,630,256,Qwen/Qwen3-8B_decoding,153.05236805555555
NONE,16,930,256,Qwen/Qwen3-8B_prefill,185.7043611111111
FULL,16,930,256,Qwen/Qwen3-8B_decoding,165.57543819444444
NONE,16,1230,256,Qwen/Qwen3-8B_prefill,247.26084074074072
FULL,16,1230,256,Qwen/Qwen3-8B_decoding,189.8567222222222
NONE,16,1530,256,Qwen/Qwen3-8B_prefill,342.7183333333333
FULL,16,1530,256,Qwen/Qwen3-8B_decoding,231.92446296296296
NONE,16,1830,256,Qwen/Qwen3-8B_prefill,395.20769999999993
FULL,16,1830,256,Qwen/Qwen3-8B_decoding,274.95144166666665
NONE,16,2130,256,Qwen/Qwen3-8B_prefill,501.7177
FULL,16,2130,256,Qwen/Qwen3-8B_decoding,313.13750681818186
NONE,16,2430,256,Qwen/Qwen3-8B_prefill,600.1505272727273
FULL,16,2430,256,Qwen/Qwen3-8B_decoding,351.2198472222223
