cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
FULL,16,930,4096,Qwen/Qwen3-8B_decoding,4099,930,523042,1568,2.9939,98,174.48913333333337,522.4030162866668,100.0,49.0
FULL,16,930,4096,Qwen/Qwen3-8B_decoding,4099,930,523353,1568,2.9931,98,174.6170666666667,522.6463422400001,100.0,49.0
FULL,16,930,4096,Qwen/Qwen3-8B_decoding,4099,930,523815,1568,2.9933,98,174.95499999999998,523.6928015,100.0,49.0
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill,0,1230,1316295,16,4.9387,1,263.067375,1299.2108449125,100.0,11.958333333333334
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill,0,1230,1319643,16,4.9377,1,263.83525000000003,1302.7393139250003,100.0,11.916666666666666
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill,0,1230,1321112,16,4.9383,1,264.95772,1308.440708676,100.0,11.92
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,4096,1230,356195,1040,1.7177,65,197.74355555555556,339.6641053777778,100.0,57.0
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,4096,1230,356943,1040,1.7174,65,198.27344444444444,340.5148134888889,100.0,57.0
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,4096,1230,357261,1040,1.7184,65,198.21655555555554,340.6153290666666,100.0,57.0
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,4097,1230,356002,1040,1.7177,65,198.0793333333333,340.2408708666666,100.0,57.0
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,4097,1230,356755,1040,1.7174,65,198.45100000000002,340.81974740000004,100.0,57.0
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,4097,1230,357196,1040,1.7178,65,198.60088888888887,341.1566069333333,100.0,57.0
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,4098,1230,336643,1040,1.7175,65,198.17311111111113,340.36231833333335,100.0,57.0
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,4098,1230,337171,1040,1.7169,65,198.52244444444443,340.84318486666666,100.0,57.0
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,4098,1230,337376,1040,1.7178,65,198.82644444444446,341.5440662666667,100.0,57.0
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,4099,1230,336414,1040,1.7177,65,198.20222222222222,340.4519571111111,100.0,57.0
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,4099,1230,337158,1040,1.7174,65,198.71800000000002,341.27829320000006,100.0,57.0
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,4099,1230,337279,1040,1.7178,65,198.7698888888889,341.44691513333333,100.0,57.0
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill,0,1528,1324579,16,4.0056,1,327.6898,1312.59426288,100.0,16.4
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill,0,1530,1278604,16,3.9979,1,319.6577,1277.95951883,100.0,16.3
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill,0,1530,1263543,16,3.9976,1,314.0124,1255.29597024,100.0,15.85
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,4096,1530,440550,1296,1.7367,81,244.8558888888889,425.2412222333333,100.0,71.0
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,4096,1530,441899,1296,1.7365,81,245.745,426.7361925,100.0,71.0
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,4096,1530,442593,1296,1.7353,81,245.4058888888889,425.85283898888895,100.0,71.0
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,4097,1530,440868,1296,1.7366,81,244.57222222222222,424.7241211111111,100.0,71.0
