cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_j_per_token
NONE,16,330,8192,Qwen/Qwen3-8B_prefill,244.38227083333334
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,0.5892353766025641
NONE,16,630,8192,Qwen/Qwen3-8B_prefill,191.59625000000003
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,0.47010874999999996
NONE,16,930,8192,Qwen/Qwen3-8B_prefill,173.85383333333334
FULL,16,930,8192,Qwen/Qwen3-8B_decoding,0.46803275767543856
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill,176.82139583333333
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding,0.4549782291666667
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill,169.15047916666666
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding,0.4574588373655914
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill,193.52170833333332
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding,0.43881479166666665
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill,215.8309375
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding,0.47277975335249045
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill,232.63027083333336
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding,0.5570772916666666
NONE,16,330,4096,Qwen/Qwen3-8B_prefill,112.91506249999999
FULL,16,330,4096,Qwen/Qwen3-8B_decoding,0.43164276960784315
NONE,16,630,4096,Qwen/Qwen3-8B_prefill,88.42708333333333
FULL,16,630,4096,Qwen/Qwen3-8B_decoding,0.33983925189393943
NONE,16,930,4096,Qwen/Qwen3-8B_prefill,80.54916666666666
FULL,16,930,4096,Qwen/Qwen3-8B_decoding,0.3337163052721088
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill,82.43854166666667
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,0.33352508012820514
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill,80.55679166666667
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,0.3283042052469136
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill,88.48620833333332
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,0.3298846112542955
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill,98.35393749999999
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,0.33749036688790557
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill,106.10252083333334
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding,0.40175777243589744
NONE,16,330,1024,Qwen/Qwen3-8B_prefill,27.385791666666666
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,0.3068071831597222
NONE,16,630,1024,Qwen/Qwen3-8B_prefill,20.816979166666666
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,0.2425595561594203
NONE,16,930,1024,Qwen/Qwen3-8B_prefill,18.620375
FULL,16,930,1024,Qwen/Qwen3-8B_decoding,0.23620484834558822
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill,19.358666666666668
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding,0.23420375457875456
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill,20.615868055555556
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding,0.23550829646017699
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill,21.165909722222224
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding,0.23609386574074073
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill,22.649427083333332
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding,0.241677315552017
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill,25.252083333333335
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding,0.27963333333333334
NONE,16,330,256,Qwen/Qwen3-8B_prefill,6.356979166666666
FULL,16,330,256,Qwen/Qwen3-8B_decoding,0.2777638888888889
NONE,16,630,256,Qwen/Qwen3-8B_prefill,5.036569444444444
FULL,16,630,256,Qwen/Qwen3-8B_decoding,0.2183765829248366
NONE,16,930,256,Qwen/Qwen3-8B_prefill,4.643125
FULL,16,930,256,Qwen/Qwen3-8B_decoding,0.21305132949561403
NONE,16,1230,256,Qwen/Qwen3-8B_prefill,4.366680555555556
FULL,16,1230,256,Qwen/Qwen3-8B_decoding,0.210194100660066
NONE,16,1530,256,Qwen/Qwen3-8B_prefill,5.198309523809524
FULL,16,1530,256,Qwen/Qwen3-8B_decoding,0.20764545833333334
NONE,16,1830,256,Qwen/Qwen3-8B_prefill,4.936604166666666
FULL,16,1830,256,Qwen/Qwen3-8B_decoding,0.205890625
NONE,16,2130,256,Qwen/Qwen3-8B_prefill,5.541377083333333
FULL,16,2130,256,Qwen/Qwen3-8B_decoding,0.22712839285714287
NONE,16,2430,256,Qwen/Qwen3-8B_prefill,6.044013888888888
FULL,16,2430,256,Qwen/Qwen3-8B_decoding,0.2466404947916667
