cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_j_per_token
NONE,16,330,8192,Qwen/Qwen3-8B_prefill,244.45336822699178
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,0.5851101349979968
NONE,16,630,8192,Qwen/Qwen3-8B_prefill,191.86728010238676
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,0.46912685880405625
NONE,16,930,8192,Qwen/Qwen3-8B_prefill,175.31892444208333
FULL,16,930,8192,Qwen/Qwen3-8B_decoding,0.461936483140705
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill,177.23572475070753
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding,0.45364055771736117
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill,168.61244646860465
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding,0.4558712446482041
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill,193.6515974495496
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding,0.43756485988472216
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill,216.14005276842445
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding,0.47191600150045715
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill,233.309306672379
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding,0.5610946287243923
NONE,16,330,4096,Qwen/Qwen3-8B_prefill,113.24708241307731
FULL,16,330,4096,Qwen/Qwen3-8B_decoding,0.4275309448314951
NONE,16,630,4096,Qwen/Qwen3-8B_prefill,88.34386315152778
FULL,16,630,4096,Qwen/Qwen3-8B_decoding,0.3390470672219352
NONE,16,930,4096,Qwen/Qwen3-8B_prefill,80.65665451041667
FULL,16,930,4096,Qwen/Qwen3-8B_decoding,0.3333991353663549
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill,81.46647640653127
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,0.3276392794907407
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill,80.12186983229168
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,0.32895847371827847
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill,88.62001572977942
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,0.32830096753340965
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill,98.33656561861112
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,0.3372403326722563
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill,106.13194333459823
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding,0.4002868129847757
NONE,16,330,1024,Qwen/Qwen3-8B_prefill,27.316212998437504
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,0.3074433573524305
NONE,16,630,1024,Qwen/Qwen3-8B_prefill,21.129245789646465
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,0.24217065560650664
NONE,16,930,1024,Qwen/Qwen3-8B_prefill,19.312656721990738
FULL,16,930,1024,Qwen/Qwen3-8B_decoding,0.23633319053666257
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill,19.25913309149306
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding,0.2331150143690222
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill,20.72718098435185
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding,0.23213113867154211
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill,20.946146128699255
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding,0.23522004273842592
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill,23.134711461123512
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding,0.24099134863931915
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill,24.909894493921566
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding,0.27911419244815777
NONE,16,330,256,Qwen/Qwen3-8B_prefill,6.545796279166666
FULL,16,330,256,Qwen/Qwen3-8B_decoding,0.2748878860210613
NONE,16,630,256,Qwen/Qwen3-8B_prefill,5.022485972453703
FULL,16,630,256,Qwen/Qwen3-8B_decoding,0.21801677740247136
NONE,16,930,256,Qwen/Qwen3-8B_prefill,4.565233324421296
FULL,16,930,256,Qwen/Qwen3-8B_decoding,0.2128022353230223
NONE,16,1230,256,Qwen/Qwen3-8B_prefill,4.5362059785879625
FULL,16,1230,256,Qwen/Qwen3-8B_decoding,0.2094689434240924
NONE,16,1530,256,Qwen/Qwen3-8B_prefill,5.073760798181216
FULL,16,1530,256,Qwen/Qwen3-8B_decoding,0.20800821171726855
NONE,16,1830,256,Qwen/Qwen3-8B_prefill,4.937994797754629
FULL,16,1830,256,Qwen/Qwen3-8B_decoding,0.21038834262500003
NONE,16,2130,256,Qwen/Qwen3-8B_prefill,5.445515981750001
FULL,16,2130,256,Qwen/Qwen3-8B_decoding,0.226104858942803
NONE,16,2430,256,Qwen/Qwen3-8B_prefill,6.112459890143624
FULL,16,2430,256,Qwen/Qwen3-8B_decoding,0.24729253945724824
