cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,memory_util_pct
NONE,16,330,8192,Qwen/Qwen3-8B_prefill,2.598901098901099
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,31.0
NONE,16,630,8192,Qwen/Qwen3-8B_prefill,4.101113172541744
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,47.0
NONE,16,930,8192,Qwen/Qwen3-8B_prefill,6.857142857142857
FULL,16,930,8192,Qwen/Qwen3-8B_decoding,51.01666666666667
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill,11.182389937106919
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding,60.0
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill,14.465116279069768
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding,75.0
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill,18.846846846846844
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding,87.0
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill,21.229166666666668
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding,90.0
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill,21.892473118279568
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding,91.0
NONE,16,330,4096,Qwen/Qwen3-8B_prefill,2.63855421686747
FULL,16,330,4096,Qwen/Qwen3-8B_decoding,29.0
NONE,16,630,4096,Qwen/Qwen3-8B_prefill,4.207407407407407
FULL,16,630,4096,Qwen/Qwen3-8B_decoding,44.916666666666664
NONE,16,930,4096,Qwen/Qwen3-8B_prefill,7.65625
FULL,16,930,4096,Qwen/Qwen3-8B_decoding,49.0
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill,11.931666666666667
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,57.0
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill,16.183333333333334
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,71.0
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill,19.45098039215686
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,83.0
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill,23.37777777777778
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,86.0
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill,24.23809523809524
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding,88.0
NONE,16,330,1024,Qwen/Qwen3-8B_prefill,2.7000000000000006
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,26.09166666666667
NONE,16,630,1024,Qwen/Qwen3-8B_prefill,5.373737373737374
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,42.0
NONE,16,930,1024,Qwen/Qwen3-8B_prefill,9.481481481481481
FULL,16,930,1024,Qwen/Qwen3-8B_decoding,46.98333333333333
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill,14.25
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding,54.10185185185185
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill,19.066666666666666
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding,67.0
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill,23.307692307692307
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding,79.0
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill,27.047619047619047
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding,83.0
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill,28.058823529411764
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding,85.0
NONE,16,330,256,Qwen/Qwen3-8B_prefill,3.0
FULL,16,330,256,Qwen/Qwen3-8B_decoding,26.0
NONE,16,630,256,Qwen/Qwen3-8B_prefill,6.0
FULL,16,630,256,Qwen/Qwen3-8B_decoding,41.0
NONE,16,930,256,Qwen/Qwen3-8B_prefill,8.0
FULL,16,930,256,Qwen/Qwen3-8B_decoding,45.0
NONE,16,1230,256,Qwen/Qwen3-8B_prefill,13.0
FULL,16,1230,256,Qwen/Qwen3-8B_decoding,53.0
NONE,16,1530,256,Qwen/Qwen3-8B_prefill,16.11111111111111
FULL,16,1530,256,Qwen/Qwen3-8B_decoding,65.0
NONE,16,1830,256,Qwen/Qwen3-8B_prefill,19.166666666666668
FULL,16,1830,256,Qwen/Qwen3-8B_decoding,77.0
NONE,16,2130,256,Qwen/Qwen3-8B_prefill,23.0
FULL,16,2130,256,Qwen/Qwen3-8B_decoding,81.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill,24.0
FULL,16,2430,256,Qwen/Qwen3-8B_decoding,83.0
