sm_clock,batch_size,graph_mode,avg_power_mean,avg_temperature_mean,during_time_mean,repeat_count,energy_per_token_mean,experiment_count
2422,1,all,343.95369791666667,53.979166666666664,0.541083870967742,45,4.135947867939815,31
2422,1,mani,345.2753389583333,54.203125,0.8738696202531646,100,3.8498454981679857,158
2422,1,seg,344.27660479166667,53.7475,0.872912658227848,100,3.835044046085718,158
2422,2,all,338.64747916666664,53.63020833333332,0.6085499999999998,45,4.58006573912037,30
2422,2,mani,334.28420812499996,53.907291666666666,0.9083302631578946,100,3.9304950530958562,152
2422,2,seg,333.47736291666666,53.391875000000006,0.9089686274509805,100,3.9195185117174303,153
2422,3,all,344.03190625,54.0,0.6707222222222221,45,5.128416107152778,27
2422,3,mani,339.0146875,54.2,0.9309353741496597,100,4.116770293201943,147
2422,3,seg,338.2908462500001,53.74625000000001,0.9298761904761905,100,4.103661473450694,147
2422,4,all,348.75083125,54.0,0.7229037037037036,45,5.603362094874999,27
2422,4,mani,341.88412687500005,54.323125000000005,0.9508493150684932,100,4.291507724312291,146
2422,4,seg,341.65016875000003,53.9625,0.9506238095238095,100,4.2848132004135415,147
2422,5,all,351.21224375,54.05,0.7877538461538461,45,6.149237857694444,26
2422,5,mani,337.57405125,54.0875,1.008286111111111,100,4.570284435807708,144
2422,5,seg,340.96918812499996,54.088750000000005,1.0108854166666665,100,4.626239976955486,144
2422,6,all,353.515915625,54.834374999999994,0.852064,45,6.694657057756944,25
2422,6,mani,344.84020625,54.6025,1.0228626760563377,100,4.747422352576667,142
2422,6,seg,346.59444999999994,54.52312500000001,1.0241964788732394,100,4.777403557222778,142
2422,7,all,356.693134375,55.0,0.9158375,45,7.260042045895833,24
2422,7,mani,348.71474270833335,55.043124999999996,1.0423273381294964,100,4.935826073740763,139
2422,7,seg,349.530715625,54.765625,1.0427179856115107,100,4.949488581816249,139
2422,8,all,356.88226562500006,55.0,0.9821434782608697,45,7.789750178506944,23
2422,8,mani,350.9183810416667,55.253125,1.0714108695652171,100,5.154430175830926,138
2422,8,seg,350.636284375,54.895,1.071236231884058,100,5.14743982286051,138
2422,9,all,358.71958437499995,55.04375,1.0450545454545457,45,8.331807206805555,22
2422,9,mani,352.2539072916667,55.378750000000004,1.1026028985507246,100,5.373045753639491,138
2422,9,seg,359.4717354166667,55.57541666666667,1.1108814814814814,100,5.506478248011227,135
2422,10,all,360.20913750000005,55.337500000000006,1.110909090909091,45,8.893563630833333,22
2422,10,mani,350.505485,55.289583333333326,1.1487257142857141,100,5.64059535333213,140
2422,10,seg,356.31624416666665,55.45583333333334,1.1539248120300754,100,5.7510932197802775,133
2422,11,all,361.253675,55.50000000000001,1.1729000000000003,45,9.41673189986111,21
2422,11,mani,354.9988625,55.57708333333333,1.1617318840579711,100,5.806427282063055,138
2422,11,seg,359.5928095833333,55.575,1.1675333333333335,100,5.899429781734537,132
2422,12,all,362.8585270833334,55.485416666666666,1.2417650000000002,45,10.01373729125463,20
2422,12,mani,356.87818500000003,55.62833333333333,1.189513043478261,100,6.012872027063703,138
2422,12,seg,360.25381666666664,55.61125,1.1919515384615387,100,6.083797409490648,130
2422,13,all,363.7259666666667,55.52291666666666,1.304342105263158,45,10.543607745212965,19
2422,13,mani,358.46308196428566,55.66708333333334,1.218582481751825,100,6.230312099750828,137
2422,13,seg,360.27230773809526,55.573928571428574,1.217559375,100,6.274240425604087,128
2422,14,all,364.4961770833333,55.20833333333333,1.3668,45,11.071630054189814,19
2422,14,mani,359.25400523809526,55.6025,1.244619259259259,100,6.437874952171912,135
2422,14,seg,361.01258958333335,55.45125,1.2431110236220475,100,6.472874431220001,127
2422,15,all,366.1232083333333,55.010416666666664,1.4192529411764707,45,11.547278437199076,17
2422,15,mani,357.47087404761896,55.45583333333334,1.2837328358208955,100,6.665003259690477,134
2422,15,seg,358.2221180357143,55.02202380952381,1.2761255999999999,100,6.673100412959319,125
2422,16,all,364.11268154761905,54.99702380952381,1.4881823529411762,45,12.041617357430557,17
2422,16,mani,360.05031619047617,54.658869047619056,1.3050654411764706,100,6.831595029185205,136
2422,16,seg,358.6817923214286,54.12958333333332,1.292958870967742,100,6.813620948363221,124
2422,24,mani,,,1.1446,100,,2
2422,24,seg,,,1.1442999999999999,100,,2
