cudagraph_mode,batch_size,sm_clock,input_len,model_name,kv_cache_lens,iteration,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
FULL,128,630,256,Qwen/Qwen3-8B,300,41,1082338,23040,6.5224,180,164.33621875,1071.866553175,100.0,36.0
FULL,128,630,256,Qwen/Qwen3-8B,301,42,1082710,23040,6.5248,180,164.21418749999998,1071.4647306,100.0,36.0
FULL,128,630,256,Qwen/Qwen3-8B,302,43,1066425,23040,6.5263,180,164.2693125,1072.07081416875,100.0,36.0
FULL,64,630,256,Qwen/Qwen3-8B,259,0,951505,14400,6.1328,225,156.40576666666664,959.205285813333,100.0,38.63333333333333
FULL,64,630,256,Qwen/Qwen3-8B,260,1,968205,14400,6.1351,225,156.22972413793104,958.4849805586208,100.0,38.93103448275862
FULL,64,630,256,Qwen/Qwen3-8B,261,2,952030,14400,6.1351,225,156.39956666666666,959.5269814566667,100.0,38.86666666666667
FULL,64,630,256,Qwen/Qwen3-8B,262,3,967105,14400,6.137,225,156.16776666666672,958.4015840333336,100.0,39.0
FULL,64,630,256,Qwen/Qwen3-8B,263,4,951769,14400,6.1375,225,156.0173333333333,957.5563833333332,100.0,38.93333333333333
FULL,64,630,256,Qwen/Qwen3-8B,264,5,968834,14400,6.1376,225,156.36089655172415,959.6806386758622,100.0,39.0
FULL,64,630,256,Qwen/Qwen3-8B,265,6,952324,14400,6.1379,225,156.2396,958.98304084,100.0,39.0
FULL,64,630,256,Qwen/Qwen3-8B,266,7,969328,14400,6.1377,225,156.59426666666664,961.1286305199998,100.0,39.0
FULL,64,630,256,Qwen/Qwen3-8B,267,8,953469,14400,6.1374,225,156.50820689655177,960.5534690068969,100.0,39.0
FULL,64,630,256,Qwen/Qwen3-8B,268,9,969229,14400,6.1383,225,156.45779310344827,960.3848714068965,100.0,39.0
FULL,64,630,256,Qwen/Qwen3-8B,269,10,954485,14400,6.1376,225,156.5663,960.94132288,100.0,39.0
FULL,64,630,256,Qwen/Qwen3-8B,270,11,970588,14400,6.1359,225,156.69510000000002,961.4654640900002,100.0,39.0
FULL,64,630,256,Qwen/Qwen3-8B,271,12,955965,14400,6.1371,225,156.80655172413793,962.337488586207,100.0,39.0
