batch_size,sm_clock,input_len,model_name,throughput_tokens_per_sec
512,330,256,Qwen/Qwen3-8B,2437.386294333952
256,330,256,Qwen/Qwen3-8B,2183.874509745831
128,330,256,Qwen/Qwen3-8B,1946.8880729483842
64,330,256,Qwen/Qwen3-8B,1551.7928835448888
16,330,256,Qwen/Qwen3-8B,448.87707995299724
8,330,256,Qwen/Qwen3-8B,239.06044049917728
512,630,256,Qwen/Qwen3-8B,4518.507726961998
256,630,256,Qwen/Qwen3-8B,4006.093571107797
128,630,256,Qwen/Qwen3-8B,3540.742851873895
64,630,256,Qwen/Qwen3-8B,2346.2026399223264
16,630,256,Qwen/Qwen3-8B,705.5610843864122
8,630,256,Qwen/Qwen3-8B,366.2285524915981
512,930,256,Qwen/Qwen3-8B,6159.32204684415
256,922,256,Qwen/Qwen3-8B,5365.47026460571
128,930,256,Qwen/Qwen3-8B,4452.760210646768
64,930,256,Qwen/Qwen3-8B,2666.323276547717
16,930,256,Qwen/Qwen3-8B,782.7025947557318
8,930,256,Qwen/Qwen3-8B,404.16376540050646
512,1230,256,Qwen/Qwen3-8B,7757.586906279942
256,1230,256,Qwen/Qwen3-8B,6863.6986815851105
128,1230,256,Qwen/Qwen3-8B,5376.967645766639
64,1230,256,Qwen/Qwen3-8B,3126.213467684199
16,1230,256,Qwen/Qwen3-8B,910.6085900743665
8,1230,256,Qwen/Qwen3-8B,470.93728292734613
512,1522,256,Qwen/Qwen3-8B,9557.430632152305
256,1515,256,Qwen/Qwen3-8B,8414.268020410373
128,1530,256,Qwen/Qwen3-8B,6593.084089572829
64,1530,256,Qwen/Qwen3-8B,3843.610664563683
16,1530,256,Qwen/Qwen3-8B,1122.196781015478
8,1530,256,Qwen/Qwen3-8B,580.4919985172216
512,1815,256,Qwen/Qwen3-8B,11120.344099999438
256,1800,256,Qwen/Qwen3-8B,9832.343062839813
128,1822,256,Qwen/Qwen3-8B,7503.007623033415
64,1830,256,Qwen/Qwen3-8B,4441.208852293225
16,1830,256,Qwen/Qwen3-8B,1312.6864323660934
8,1830,256,Qwen/Qwen3-8B,680.6275459955334
512,2092,256,Qwen/Qwen3-8B,12367.920019242294
256,2085,256,Qwen/Qwen3-8B,10846.004169897311
128,2130,256,Qwen/Qwen3-8B,7962.275297840672
64,2130,256,Qwen/Qwen3-8B,4650.010733334435
16,2130,256,Qwen/Qwen3-8B,1396.017687199401
8,2130,256,Qwen/Qwen3-8B,723.1984236370591
512,2355,256,Qwen/Qwen3-8B,13253.033816578314
256,2370,256,Qwen/Qwen3-8B,11494.273852680702
128,2422,256,Qwen/Qwen3-8B,8189.879953026793
64,2422,256,Qwen/Qwen3-8B,4761.180150477639
16,2422,256,Qwen/Qwen3-8B,1432.0531657104302
8,2422,256,Qwen/Qwen3-8B,738.75956796246
512,330,256,nvidia/Qwen3-8B-NVFP4,4807.720777268495
256,330,256,nvidia/Qwen3-8B-NVFP4,3850.4475476793696
128,330,256,nvidia/Qwen3-8B-NVFP4,2636.989711432542
64,330,256,nvidia/Qwen3-8B-NVFP4,1545.3175090912603
16,330,256,nvidia/Qwen3-8B-NVFP4,414.34141979623007
8,330,256,nvidia/Qwen3-8B-NVFP4,213.22923508564554
512,630,256,nvidia/Qwen3-8B-NVFP4,8695.313593800613
256,630,256,nvidia/Qwen3-8B-NVFP4,6935.922989236016
128,630,256,nvidia/Qwen3-8B-NVFP4,4781.282114466419
64,630,256,nvidia/Qwen3-8B-NVFP4,2714.574798874685
16,630,256,nvidia/Qwen3-8B-NVFP4,710.6164785945587
8,630,256,nvidia/Qwen3-8B-NVFP4,363.04429932810393
512,930,256,nvidia/Qwen3-8B-NVFP4,11022.577266580241
256,930,256,nvidia/Qwen3-8B-NVFP4,8747.462577767876
128,930,256,nvidia/Qwen3-8B-NVFP4,6067.097423724952
64,930,256,nvidia/Qwen3-8B-NVFP4,3449.79325741828
16,930,256,nvidia/Qwen3-8B-NVFP4,907.6493772066549
8,930,256,nvidia/Qwen3-8B-NVFP4,453.71363553902273
512,1230,256,nvidia/Qwen3-8B-NVFP4,13145.972213596591
256,1230,256,nvidia/Qwen3-8B-NVFP4,10769.585770429423
128,1230,256,nvidia/Qwen3-8B-NVFP4,7531.927559022793
64,1230,256,nvidia/Qwen3-8B-NVFP4,4341.074436477358
16,1230,256,nvidia/Qwen3-8B-NVFP4,1151.6972681466584
8,1230,256,nvidia/Qwen3-8B-NVFP4,583.8543642981518
512,1530,256,nvidia/Qwen3-8B-NVFP4,16085.901713619249
256,1522,256,nvidia/Qwen3-8B-NVFP4,13155.967593151703
128,1522,256,nvidia/Qwen3-8B-NVFP4,9168.381661839057
64,1530,256,nvidia/Qwen3-8B-NVFP4,5293.5197726043425
16,1530,256,nvidia/Qwen3-8B-NVFP4,1403.5986710371315
8,1530,256,nvidia/Qwen3-8B-NVFP4,712.5845398845868
512,1815,256,nvidia/Qwen3-8B-NVFP4,18589.69540773883
256,1815,256,nvidia/Qwen3-8B-NVFP4,15162.648027490197
128,1815,256,nvidia/Qwen3-8B-NVFP4,10610.697343476917
64,1822,256,nvidia/Qwen3-8B-NVFP4,6185.377934383449
16,1830,256,nvidia/Qwen3-8B-NVFP4,1650.206439515896
8,1830,256,nvidia/Qwen3-8B-NVFP4,838.3101671684627
512,2115,256,nvidia/Qwen3-8B-NVFP4,19722.20333990438
256,2107,256,nvidia/Qwen3-8B-NVFP4,16130.116271254788
128,2115,256,nvidia/Qwen3-8B-NVFP4,11408.773961190034
64,2122,256,nvidia/Qwen3-8B-NVFP4,6884.957169161795
16,2130,256,nvidia/Qwen3-8B-NVFP4,1874.4520063733846
8,2130,256,nvidia/Qwen3-8B-NVFP4,954.5475637098946
512,2407,256,nvidia/Qwen3-8B-NVFP4,20587.688862892832
256,2407,256,nvidia/Qwen3-8B-NVFP4,17181.997053909225
128,2415,256,nvidia/Qwen3-8B-NVFP4,12171.589728365741
64,2422,256,nvidia/Qwen3-8B-NVFP4,7447.34897469056
16,2422,256,nvidia/Qwen3-8B-NVFP4,2029.1992648178855
8,2295,256,nvidia/Qwen3-8B-NVFP4,1004.9800349948404
