batch_size,sm_clock,input_len,model_name,kv_cache_lens,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J
256,330,256,Qwen/Qwen3-8B,274,1941141,38400,17.5662,150,110.92308333333332,1948.4970664499997
256,330,256,Qwen/Qwen3-8B,275,1950456,38400,17.5701,150,110.9812738095238,1949.952078960714
256,330,256,Qwen/Qwen3-8B,276,1952817,38400,17.5726,150,111.21162352941175,1954.2773756329411
256,330,256,Qwen/Qwen3-8B,277,1953489,38400,17.5786,150,111.14311764705882,1953.7404078705883
256,330,256,Qwen/Qwen3-8B,278,1956231,38400,17.5807,150,111.11249411764706,1953.4354253341178
256,330,256,Qwen/Qwen3-8B,279,1955633,38400,17.5715,150,111.12380000000002,1952.6118517000004
256,330,256,Qwen/Qwen3-8B,280,1944654,38400,17.5733,150,111.33791666666667,1956.5746109583333
256,330,256,Qwen/Qwen3-8B,281,1956735,38400,17.581,150,111.27209523809526,1956.2747063809527
256,330,256,Qwen/Qwen3-8B,282,1958819,38400,17.5847,150,111.20663529411769,1955.5353196564715
256,330,256,Qwen/Qwen3-8B,283,1959505,38400,17.5744,150,111.3844705882353,1957.5152399058825
256,330,256,Qwen/Qwen3-8B,284,1958466,38400,17.58,150,111.36774117647059,1957.8448898823528
256,330,256,Qwen/Qwen3-8B,285,1959606,38400,17.5767,150,111.47167857142858,1959.3042527464286
256,330,256,Qwen/Qwen3-8B,286,1958858,38400,17.5837,150,111.30270588235294,1957.1133894235295
256,330,256,Qwen/Qwen3-8B,287,1960204,38400,17.5863,150,111.62765882352944,1963.117496368236
256,330,256,Qwen/Qwen3-8B,288,1960038,38400,17.5879,150,111.48373809523807,1960.7648372452377
256,330,256,Qwen/Qwen3-8B,289,1961201,38400,17.5862,150,111.3602588235294,1958.403783722353
256,330,256,Qwen/Qwen3-8B,290,1960905,38400,17.5877,150,111.37769411764705,1958.8774708329413
256,330,256,Qwen/Qwen3-8B,291,1962261,38400,17.5897,150,111.68566666666666,1964.5173709666667
256,330,256,Qwen/Qwen3-8B,292,1961122,38400,17.5973,150,111.68134117647055,1965.2900650847052
256,330,256,Qwen/Qwen3-8B,293,1975211,38400,17.5978,150,111.72350588235294,1966.0879118164705
256,330,256,Qwen/Qwen3-8B,294,1965431,38400,17.602,150,111.6969642857143,1966.0899653571432
256,330,256,Qwen/Qwen3-8B,295,1967040,38400,17.6063,150,111.92814117647059,1970.6404319952942
256,330,256,Qwen/Qwen3-8B,296,1969099,38400,17.6201,150,111.9831294117647,1973.1539385482351
256,330,256,Qwen/Qwen3-8B,297,1969632,38400,17.6158,150,111.94357647058825,1971.9756543905885
256,330,256,Qwen/Qwen3-8B,298,1974167,38400,17.6187,150,112.23234117647061,1977.387949485883
256,330,256,Qwen/Qwen3-8B,299,1974059,38400,17.625,150,112.35978823529412,1980.3412676470589
256,330,256,Qwen/Qwen3-8B,300,1976019,38400,17.6305,150,112.44677647058825,1982.4928925647062
256,330,256,Qwen/Qwen3-8B,301,1978724,38400,17.6263,150,112.67370588235293,1986.0205419941176
256,330,256,Qwen/Qwen3-8B,302,1979642,38400,17.626,150,112.45083529411762,1982.0584228941175
128,330,256,Qwen/Qwen3-8B,259,1383822,23040,11.8038,180,117.27412280701756,1384.280290789474
128,330,256,Qwen/Qwen3-8B,260,1382934,23040,11.8106,180,117.38298245614035,1386.3634525964915
128,330,256,Qwen/Qwen3-8B,261,1383871,23040,11.8286,180,117.32915789473684,1387.8396770736842
128,330,256,Qwen/Qwen3-8B,262,1385392,23040,11.8203,180,117.49087931034482,1388.777440712069
128,330,256,Qwen/Qwen3-8B,263,1386361,23040,11.8084,180,117.61729310344826,1388.8720438827586
128,330,256,Qwen/Qwen3-8B,264,1387465,23040,11.8154,180,117.73652631578946,1391.1041530315788
128,330,256,Qwen/Qwen3-8B,265,1387925,23040,11.8129,180,117.81691228070176,1391.759403080702
128,330,256,Qwen/Qwen3-8B,266,1401348,23040,11.8225,180,117.98736206896551,1394.9055880603448
128,330,256,Qwen/Qwen3-8B,267,1390870,23040,11.8259,180,117.96101754385965,1394.9951973719299
128,330,256,Qwen/Qwen3-8B,268,1391327,23040,11.8205,180,118.18996491228071,1397.064480245614
