sm_clock,kv_group,kv_cache_lens,graph_mode,batch_size,avg_power,avg_total_energy_delta,avg_print_index,points
1230,1024,1035,seg,5,197.41076923076923,511598.0,19.0,13
1230,1024,1035,seg,6,197.13799999999998,510310.0,19.0,13
1230,1024,1035,seg,7,197.92315384615387,513128.0,19.0,13
1230,1024,1035,seg,8,198.67530769230768,514483.0,19.0,13
1230,1024,1035,seg,9,202.9227142857143,525803.0,19.5,14
1230,1024,1035,seg,10,203.17450000000002,546672.0,19.5,14
1230,1024,1035,seg,11,202.94757142857142,546301.0,19.5,14
1230,1024,1035,seg,12,203.33200000000002,547042.0,20.5,14
1230,1024,1035,seg,13,203.58342857142858,547810.0,20.5,14
1230,1024,1035,seg,14,203.79128571428572,568426.0,20.5,14
1230,1024,1035,seg,15,204.19285714285712,569958.0,19.5,14
1230,1024,1035,seg,16,205.3594285714286,573150.0,20.5,14
1230,1024,1036,all,1,196.9756923076923,470508.0,18.0,13
1230,1024,1036,all,2,190.10215384615384,473500.0,18.0,13
1230,1024,1036,all,3,191.0720769230769,495469.0,19.0,13
1230,1024,1036,all,4,194.08530769230768,483723.0,19.0,13
1230,1024,1036,all,5,193.852,502379.0,19.0,13
1230,1024,1036,all,6,194.98499999999999,485767.0,19.0,13
1230,1024,1036,all,7,196.49800000000002,509271.0,19.0,13
1230,1024,1036,all,8,197.72861538461535,512817.0,19.0,13
1230,1024,1036,all,9,198.9283846153846,515827.0,19.0,13
1230,1024,1036,all,10,198.56028571428573,534181.0,19.5,14
1230,1024,1036,all,11,199.31042857142856,516333.0,19.5,14
1230,1024,1036,all,12,200.62171428571426,540121.0,19.5,14
1230,1024,1036,all,13,200.52221428571428,559295.0,20.5,14
1230,1024,1036,all,14,201.0842857142857,561536.0,20.5,14
1230,1024,1036,all,15,203.08407142857143,547259.0,20.5,14
1230,1024,1036,all,16,202.87735714285714,566609.0,20.5,14
1230,1024,1036,mani,1,196.82946153846154,471022.0,18.0,13
1230,1024,1036,mani,2,190.11876923076923,473353.0,18.0,13
1230,1024,1036,mani,3,193.39023076923075,482408.0,18.0,13
1230,1024,1036,mani,4,193.70530769230768,482780.0,18.0,13
1230,1024,1036,mani,5,194.72215384615384,485577.0,19.0,13
1230,1024,1036,mani,6,194.90430769230767,486123.0,19.0,13
1230,1024,1036,mani,7,196.44384615384615,489875.0,19.0,13
1230,1024,1036,mani,8,197.65415384615383,493043.0,19.0,13
1230,1024,1036,mani,9,198.1450714285714,514267.0,19.5,14
1230,1024,1036,mani,10,199.23678571428573,517022.0,19.5,14
1230,1024,1036,mani,11,199.74442857142859,537934.0,19.5,14
1230,1024,1036,mani,12,200.507,539846.0,20.5,14
