cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,throughput_tokens_per_sec
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-mlp,2042.1137241051742
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-mlp,33410.88103593308
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-mlp,2063.791213122272
NONE,16,330,4096,Qwen/Qwen3-8B_prefill-mlp,5540.719531509799
FULL,16,330,4096,Qwen/Qwen3-8B_decoding-mlp,758.8670352309949
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-mlp,10344.849358603344
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-mlp,1125.1997868939798
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-mlp,14569.869165527283
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-mlp,1190.9049854999919
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-mlp,19499.796678755738
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-mlp,1370.3201289401668
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-mlp,24058.148356623675
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-mlp,1691.0672707084996
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-mlp,28523.15961656336
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-mlp,1972.882006128721
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-mlp,32796.642401030236
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-mlp,2042.0722746795052
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-mlp,33421.86158653887
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-mlp,2063.7394528940717
NONE,16,330,1024,Qwen/Qwen3-8B_prefill-mlp,5463.3972834181795
FULL,16,330,1024,Qwen/Qwen3-8B_decoding-mlp,757.2545578244707
NONE,16,630,1024,Qwen/Qwen3-8B_prefill-mlp,10203.437681640788
FULL,16,630,1024,Qwen/Qwen3-8B_decoding-mlp,1124.8402215594376
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-mlp,14307.29598742523
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-mlp,1191.0151488768938
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-mlp,19152.865993843276
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-mlp,1370.0675771466374
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-mlp,23689.504885051534
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-mlp,1691.0593482375427
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-mlp,28046.790299572036
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-mlp,1972.9721089336358
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-mlp,32191.97820334809
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-mlp,2041.9976699533581
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-mlp,33042.25068064939
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-mlp,2063.791213122272
NONE,16,330,256,Qwen/Qwen3-8B_prefill-mlp,5266.812395525267
FULL,16,330,256,Qwen/Qwen3-8B_decoding-mlp,758.3425081586003
NONE,16,630,256,Qwen/Qwen3-8B_prefill-mlp,9845.102019015061
FULL,16,630,256,Qwen/Qwen3-8B_decoding-mlp,1125.204068818285
NONE,16,930,256,Qwen/Qwen3-8B_prefill-mlp,13847.761499846325
FULL,16,930,256,Qwen/Qwen3-8B_decoding-mlp,1191.2517449976733
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-mlp,18596.392106218977
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-mlp,1369.9898876298307
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-mlp,23045.87825610924
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-mlp,1690.9325987970094
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-mlp,27362.472598435328
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-mlp,1972.8639865552973
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-mlp,31487.81833950958
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-mlp,2042.0142483102961
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-mlp,33113.855827531996
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-mlp,2063.761635531096
