cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,memory_util_pct
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-mlp,8.494623655913978
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-mlp,49.0
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-mlp,11.606060606060607
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-mlp,52.0
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-mlp,15.931972789115648
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-mlp,60.0
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-mlp,19.025000000000002
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-mlp,73.98333333333333
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-mlp,22.203367003367003
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-mlp,86.0
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-mlp,25.74829931972789
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-mlp,88.0
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-mlp,26.34502923976608
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-mlp,89.0
NONE,16,330,1024,Qwen/Qwen3-8B_prefill-mlp,5.297222222222222
FULL,16,330,1024,Qwen/Qwen3-8B_decoding-mlp,33.0
NONE,16,630,1024,Qwen/Qwen3-8B_prefill-mlp,9.597222222222221
FULL,16,630,1024,Qwen/Qwen3-8B_decoding-mlp,49.0
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-mlp,13.0
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-mlp,52.0
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-mlp,17.05128205128205
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-mlp,60.0
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-mlp,20.972222222222225
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-mlp,74.0
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-mlp,24.41025641025641
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-mlp,86.0
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-mlp,28.0
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-mlp,88.0
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-mlp,28.48505747126437
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-mlp,89.0
NONE,16,330,256,Qwen/Qwen3-8B_prefill-mlp,4.688172043010753
FULL,16,330,256,Qwen/Qwen3-8B_decoding-mlp,33.0
NONE,16,630,256,Qwen/Qwen3-8B_prefill-mlp,8.0
FULL,16,630,256,Qwen/Qwen3-8B_decoding-mlp,49.0
NONE,16,930,256,Qwen/Qwen3-8B_prefill-mlp,11.0
FULL,16,930,256,Qwen/Qwen3-8B_decoding-mlp,52.0
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-mlp,15.0
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-mlp,60.0
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-mlp,18.0
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-mlp,73.96296296296298
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-mlp,21.0
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-mlp,86.0
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-mlp,24.0
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-mlp,88.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-mlp,25.0
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-mlp,89.0
