cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_avg_power_W
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-mlp,602.1969707602339
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-mlp,378.4831527777778
NONE,16,330,4096,Qwen/Qwen3-8B_prefill-mlp,107.16682849364791
FULL,16,330,4096,Qwen/Qwen3-8B_decoding-mlp,137.05678703703703
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-mlp,155.80405376344086
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-mlp,169.85241666666667
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-mlp,200.77625757575757
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-mlp,179.45918333333336
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-mlp,272.5596870748299
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-mlp,203.38904629629633
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-mlp,322.17248333333333
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-mlp,251.4073083333333
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-mlp,433.54331245791246
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-mlp,276.4195583333334
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-mlp,559.8604081632653
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-mlp,314.35647727272726
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-mlp,599.574
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-mlp,377.51783333333333
NONE,16,330,1024,Qwen/Qwen3-8B_prefill-mlp,110.66979722222221
FULL,16,330,1024,Qwen/Qwen3-8B_decoding-mlp,138.73574074074074
NONE,16,630,1024,Qwen/Qwen3-8B_prefill-mlp,158.66454166666665
FULL,16,630,1024,Qwen/Qwen3-8B_decoding-mlp,170.58687121212122
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-mlp,202.86489855072463
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-mlp,179.72563888888885
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-mlp,271.6608205128205
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-mlp,203.15298148148148
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-mlp,334.45172222222226
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-mlp,251.30523055555557
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-mlp,433.96453846153844
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-mlp,282.9116333333333
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-mlp,549.9314133333334
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-mlp,311.68191666666667
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-mlp,599.1826249042145
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-mlp,373.9806319444444
NONE,16,330,256,Qwen/Qwen3-8B_prefill-mlp,104.14023655913981
FULL,16,330,256,Qwen/Qwen3-8B_decoding-mlp,138.35649074074072
NONE,16,630,256,Qwen/Qwen3-8B_prefill-mlp,147.38690322580646
FULL,16,630,256,Qwen/Qwen3-8B_decoding-mlp,170.38006818181816
NONE,16,930,256,Qwen/Qwen3-8B_prefill-mlp,189.89673958333333
FULL,16,930,256,Qwen/Qwen3-8B_decoding-mlp,179.60771666666668
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-mlp,252.86124242424242
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-mlp,202.92967592592595
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-mlp,316.35303125
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-mlp,251.10145648148148
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-mlp,407.1892947118242
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-mlp,287.2149
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-mlp,520.548980392157
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-mlp,311.5629772727273
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-mlp,600.4732432432431
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-mlp,373.96021527777776
