cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_avg_power_W
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-mlp,306.1980327442932
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-mlp,597.8404749159523
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-mlp,371.2412485936839
NONE,16,330,4096,Qwen/Qwen3-8B_prefill-mlp,107.04589648350533
FULL,16,330,4096,Qwen/Qwen3-8B_decoding-mlp,135.96891411858286
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-mlp,154.16586864785796
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-mlp,170.2610548748002
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-mlp,200.56342933789827
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-mlp,176.08728297595664
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-mlp,271.3939902868648
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-mlp,198.02331132338554
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-mlp,318.9283587446873
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-mlp,244.99482316784648
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-mlp,434.74450251526025
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-mlp,268.76804479172847
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-mlp,554.3799584970875
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-mlp,304.7196534842371
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-mlp,594.9639757817524
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-mlp,374.1154404256462
NONE,16,330,1024,Qwen/Qwen3-8B_prefill-mlp,109.21025720827866
FULL,16,330,1024,Qwen/Qwen3-8B_decoding-mlp,134.68225874836074
NONE,16,630,1024,Qwen/Qwen3-8B_prefill-mlp,155.72725511362063
FULL,16,630,1024,Qwen/Qwen3-8B_decoding-mlp,170.97548542211942
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-mlp,200.51849102737637
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-mlp,177.30585060073136
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-mlp,271.16997233371
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-mlp,197.72978592694102
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-mlp,337.16735862956915
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-mlp,245.86445664599063
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-mlp,428.7372325249643
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-mlp,275.0501235391101
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-mlp,548.4023211338451
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-mlp,303.3652936711224
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-mlp,601.5143468566882
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-mlp,370.643680714301
NONE,16,330,256,Qwen/Qwen3-8B_prefill-mlp,103.27589901847328
FULL,16,330,256,Qwen/Qwen3-8B_decoding-mlp,134.54250124662423
NONE,16,630,256,Qwen/Qwen3-8B_prefill-mlp,147.1073603247516
FULL,16,630,256,Qwen/Qwen3-8B_decoding-mlp,163.2564246001393
NONE,16,930,256,Qwen/Qwen3-8B_prefill-mlp,187.62135027148855
FULL,16,930,256,Qwen/Qwen3-8B_decoding-mlp,176.2085180377654
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-mlp,250.74876911901208
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-mlp,198.50247138766292
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-mlp,315.7798188389268
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-mlp,244.54395975040754
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-mlp,404.6033638977272
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-mlp,279.31337939727183
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-mlp,517.4451529606561
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-mlp,302.0637317583064
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-mlp,598.1523916460812
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-mlp,364.14855500856316
