sm_clock,input_len,graph_mode,avg_power_mean,avg_temperature_mean,during_time_mean,repeat_count,energy_per_token_mean,experiment_count
2422,128,mani,344.97503925781245,54.44375,1.0674059304703476,100,3.683211988293164,489
2422,128,seg,347.1979396484375,54.03984375,1.0692368635437883,100,3.713673237649023,491
2422,1024,mani,346.913315234375,54.550390625,1.131794560669456,100,3.9343381764723957,478
2422,1024,seg,348.98884309895834,54.288020833333334,1.1336282426778244,100,3.9647085082833335,478
2422,4096,mani,349.59575698474697,54.93967633928572,1.2240085714285713,90,4.790954025085297,455
2422,4096,seg,351.04125134858634,54.71422061011905,1.222153794642857,90,4.818775619447349,448
2422,8192,mani,351.72455377604166,55.19986979166667,0.99378291571754,60,5.905144151371962,439
2422,8192,seg,353.1294028645833,55.164648437500006,0.9837230769230769,60,5.939088520089193,416
2422,16384,all,355.9491519717262,54.78744419642857,0.9623948648648648,45,8.075090785733074,370
2422,16384,mani,354.41022847842265,55.51563430059524,1.000132506203474,45,8.122072709911851,403
2422,16384,seg,355.65788627232143,55.391675967261904,0.9755725067385443,45,8.163205379432892,371
