sm_clock,input_len,graph_mode,avg_power_mean,avg_temperature_mean,during_time_mean,repeat_count,energy_per_token_mean,experiment_count
2520,128,all,312.31321880425344,71.87890625,2.0531185950413224,100,1.3340643023997103,484
2520,128,mani,314.62481729755706,72.986328125,2.053257468879668,100,1.3496343330421716,482
2520,128,seg,318.0007425672743,73.30512152777777,2.0550671487603305,100,1.3499123509498003,484
2520,1024,all,314.7890045898438,72.42355685763889,2.1858054112554113,100,1.3903542616382008,462
2520,1024,mani,317.4835661380829,73.68446180555556,2.1887523706896554,100,1.4113588762843081,464
2520,1024,seg,318.2632646158854,73.26687282986111,2.1893935064935066,100,1.4024913450150545,462
2520,4096,all,321.1607100989613,73.6359375,2.370700913242009,90,1.5961630150254185,438
2520,4096,mani,319.4011441906191,73.83735186510778,2.3755806451612904,90,1.5943832753927183,434
2520,4096,seg,319.2594329963548,73.05047545770202,2.3794524027459953,90,1.5837750916467503,437
2520,8192,all,319.64882959519866,73.43291311553031,1.9147756218905472,60,1.8169491882531186,402
2520,8192,mani,318.781596522282,73.49889026988636,1.9322497536945815,60,1.819491689135005,406
2520,8192,seg,324.2087208144503,74.01863458806818,1.9349852216748769,60,1.8516601420092087,406
