sm_clock,batch_size,graph_mode,avg_power_mean,avg_temperature_mean,during_time_mean,repeat_count,energy_per_token_mean,experiment_count
2520,1,all,327.71756158854174,74.01041666666666,1.76757874015748,100,6.633148157496382,127
2520,1,mani,330.7989899863591,74.81770833333333,1.767590551181102,100,6.69430656214974,127
2520,1,seg,328.27575030381945,74.08159722222223,1.767648031496063,100,6.645682820154948,127
2520,2,all,300.9488584139384,70.75,1.8617280991735539,100,6.463151340121917,121
2520,2,mani,302.3986651165675,71.95833333333333,1.8633082644628098,100,6.497319685864445,121
2520,2,seg,301.52695008680564,70.5,1.861817355371901,100,6.477089243102262,121
2520,3,all,304.2947734375,71.25,1.9076218487394963,100,6.719006824017505,119
2520,3,mani,306.18152570064484,72.5,1.9084235294117653,100,6.761216783517034,119
2520,3,seg,304.57936994667665,71.25,1.9059924369747898,100,6.722696550279015,119
2520,4,all,305.98245991443446,71.373046875,1.947377777777778,100,6.924803129606802,117
2520,4,mani,307.704046000744,72.71875,1.9545829059829058,100,6.992974803535336,117
2520,4,seg,306.3653381696429,71.498046875,1.9475085470085467,100,6.9356982026956535,117
2520,5,all,308.3411716579861,71.75,1.9911789473684212,100,7.169828208351476,114
2520,5,mani,308.7655062988158,72.74228395061728,2.0047122807017543,100,7.225871237710076,114
2520,5,seg,312.5906528087798,72.5,2.01100350877193,100,7.347296038528553,114
2520,6,all,311.02980679563495,71.75,2.0365078947368422,100,7.432663466349679,114
2520,6,mani,311.06991009424604,72.75889756944444,2.051481415929204,100,7.464779651755557,113
2520,6,seg,313.6800464409722,72.5,2.0520424778761064,100,7.542160708687066,113
2520,7,all,313.5402204861111,72.51171875,2.0871053097345134,100,7.708394312998866,113
2520,7,mani,313.9574811197916,73.25,2.0865991150442476,100,7.706688103166185,113
2520,7,seg,314.95251067708335,72.62434895833334,2.087593805309735,100,7.7401657888357445,113
2520,8,all,315.3550631944445,72.7421875,2.1302189189189193,100,7.950003398833188,111
2520,8,mani,315.6397603298611,73.25,2.131483783783784,100,7.954837954613932,111
2520,8,seg,316.0898694878471,72.75173611111111,2.1255009009009007,100,7.949474346474996,111
2520,9,all,316.73412743055553,72.75,2.185046788990826,100,8.230928281898942,109
2520,9,mani,311.5928722943723,72.67777777777779,2.226021818181818,100,8.264611410766866,110
2520,9,seg,322.25790533854166,73.75,2.239874311926606,100,8.586425333713759,109
2520,10,all,318.85734943576387,73.073046875,2.216738532110092,100,8.431839545884692,109
2520,10,mani,316.56684037247476,73.25941840277778,2.239037962962963,100,8.474748462929341,108
2520,10,seg,326.4018299321338,74.75,2.2478249999999997,100,8.762762935338502,108
2520,11,all,320.9781128274937,73.25,2.25942523364486,100,8.695895883372707,107
2520,11,mani,320.1627245857008,73.66875,2.2618457943925234,100,8.685031639462863,107
2520,11,seg,328.52493467881953,74.77698863636364,2.2691906542056075,100,8.929190704432415,107
2520,12,all,322.69334517045456,73.75,2.3092822429906543,100,8.970332776845312,107
2520,12,mani,324.2269077595148,74.10006313131314,2.3001981132075473,100,8.967937307513818,106
2520,12,seg,329.2546375039458,75.0,2.3039887850467284,100,9.123601576418217,107
2520,13,all,324.6430218394886,74.240234375,2.3488857142857142,100,9.228906008707952,105
2520,13,mani,326.7687240631764,74.5625,2.3361542857142856,100,9.234424276436538,105
2520,13,seg,329.39666524621214,75.0,2.340798095238095,100,9.326796123076711,105
2520,14,all,326.3292833175505,74.25,2.390516346153846,100,9.483619049765494,104
2520,14,mani,328.2229846393624,74.86892361111111,2.3794942307692306,100,9.476233205092896,104
2520,14,seg,329.3383295651831,75.0,2.381335238095238,100,9.528305429821858,105
2520,15,all,327.8725865175189,74.501953125,2.4326269230769233,100,9.736852170958507,104
2520,15,mani,328.9934688052399,74.72092013888889,2.4222617647058824,100,9.726573779553316,102
2520,15,seg,328.942972360322,74.915625,2.4205932038834947,100,9.736918706262768,103
2520,16,all,326.32931032561186,73.5326507260101,2.4639695238095243,100,9.833617146043368,105
2520,16,mani,327.8259033368541,74.13857323232324,2.476398165137615,100,9.899521828486309,109
2520,16,seg,326.7508814290744,73.66607481060606,2.4798509090909095,100,9.869780997175777,110
2520,24,all,,,2.2283,100,,2
2520,24,mani,,,2.2331,100,,3
2520,24,seg,,,2.2321333333333335,100,,3
